DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2015,TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,1257,14025,2800,15850
2016,TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,1215,13900,1300,15440
2017,TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,1154,15035,1280,17190
2018,TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,1174,14080,1510,15855
2019,TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,1250,15215,1320,17045
2020,TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,1299,15430,1335,17470
2021,TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,1281,13910,1300,15670
2022,TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,1472,14555,1720,16730
2015,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,448,6750,1370,7745
2016,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,479,5900,820,6905
2017,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,463,5340,1705,7245
2018,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,497,7040,830,8300
2019,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,539,6270,820,7450
2020,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,400,5465,1080,6695
2021,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,529,7170,665,7985
2022,TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,578,6585,580,7680
2015,TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,3965,56320,71710,94705
2016,TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,4122,53395,34160,89000
2017,TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,4109,52865,36970,91670
2018,TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,4075,54460,34525,89940
2019,TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,4250,55155,36815,93755
2020,TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,4351,53830,36210,92840
2021,TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,4608,56705,36730,94765
2022,TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,4918,55605,32795,89075
2015,TLC12,South Teesside,A-E,Production sector,763,9310,1080,10080
2016,TLC12,South Teesside,A-E,Production sector,716,8895,645,9815
2017,TLC12,South Teesside,A-E,Production sector,653,8930,520,9800
2018,TLC12,South Teesside,A-E,Production sector,712,8575,860,9760
2019,TLC12,South Teesside,A-E,Production sector,680,8760,555,9590
2020,TLC12,South Teesside,A-E,Production sector,659,8545,405,9540
2021,TLC12,South Teesside,A-E,Production sector,688,7645,650,8965
2022,TLC12,South Teesside,A-E,Production sector,822,7985,820,9110
2015,TLC12,South Teesside,F (41-43),Construction,253,4265,840,5040
2016,TLC12,South Teesside,F (41-43),Construction,260,3235,300,3945
2017,TLC12,South Teesside,F (41-43),Construction,248,3130,770,4005
2018,TLC12,South Teesside,F (41-43),Construction,264,4185,465,4590
2019,TLC12,South Teesside,F (41-43),Construction,260,3305,420,4255
2020,TLC12,South Teesside,F (41-43),Construction,199,3300,615,4000
2021,TLC12,South Teesside,F (41-43),Construction,245,3945,365,4575
2022,TLC12,South Teesside,F (41-43),Construction,272,4150,315,4645
2015,TLC12,South Teesside,G-T,Services sector,2996,51720,71830,89050
2016,TLC12,South Teesside,G-T,Services sector,3051,52080,33935,87605
2017,TLC12,South Teesside,G-T,Services sector,3149,49320,36540,88120
2018,TLC12,South Teesside,G-T,Services sector,3320,49755,33240,85260
2019,TLC12,South Teesside,G-T,Services sector,3401,51655,33985,89465
2020,TLC12,South Teesside,G-T,Services sector,3269,48545,32745,84925
2021,TLC12,South Teesside,G-T,Services sector,3575,54025,34500,89430
2022,TLC12,South Teesside,G-T,Services sector,3885,53110,33855,89680
2015,TLC13,Darlington,A-E,Production sector,319,4195,660,4935
2016,TLC13,Darlington,A-E,Production sector,339,3490,785,4725
2017,TLC13,Darlington,A-E,Production sector,343,4695,310,5415
2018,TLC13,Darlington,A-E,Production sector,309,4030,380,4865
2019,TLC13,Darlington,A-E,Production sector,298,3180,210,3870
2020,TLC13,Darlington,A-E,Production sector,218,3075,245,3790
2021,TLC13,Darlington,A-E,Production sector,228,2530,575,3460
2022,TLC13,Darlington,A-E,Production sector,218,3665,595,4720
2015,TLC13,Darlington,F (41-43),Construction,146,1435,360,1690
2016,TLC13,Darlington,F (41-43),Construction,125,1175,160,1525
2017,TLC13,Darlington,F (41-43),Construction,153,850,315,1250
2018,TLC13,Darlington,F (41-43),Construction,170,1620,185,1860
2019,TLC13,Darlington,F (41-43),Construction,189,1255,140,1560
2020,TLC13,Darlington,F (41-43),Construction,154,1280,215,1565
2021,TLC13,Darlington,F (41-43),Construction,133,1640,150,1860
2022,TLC13,Darlington,F (41-43),Construction,76,1550,115,1720
2015,TLC13,Darlington,G-T,Services sector,2082,27515,34680,45840
2016,TLC13,Darlington,G-T,Services sector,1919,26970,16605,44020
2017,TLC13,Darlington,G-T,Services sector,1862,26305,15995,43380
2018,TLC13,Darlington,G-T,Services sector,1834,25860,15685,42135
2019,TLC13,Darlington,G-T,Services sector,1796,27535,16140,44420
2020,TLC13,Darlington,G-T,Services sector,1714,30590,16400,47045
2021,TLC13,Darlington,G-T,Services sector,1972,30045,16655,47305
2022,TLC13,Darlington,G-T,Services sector,2186,30590,14990,47220
2015,TLC14,Durham,A-E,Production sector,2310,26150,3940,30840
2016,TLC14,Durham,A-E,Production sector,2359,25285,2090,30530
2017,TLC14,Durham,A-E,Production sector,2366,28910,1745,33660
2018,TLC14,Durham,A-E,Production sector,2594,26940,2585,32450
2019,TLC14,Durham,A-E,Production sector,2729,27665,2065,32805
2020,TLC14,Durham,A-E,Production sector,3042,25470,1430,30525
2021,TLC14,Durham,A-E,Production sector,3057,23760,2110,29935
2022,TLC14,Durham,A-E,Production sector,3308,23175,2865,29560
2015,TLC14,Durham,F (41-43),Construction,561,8775,1880,10125
2016,TLC14,Durham,F (41-43),Construction,543,7580,755,9185
2017,TLC14,Durham,F (41-43),Construction,525,6740,1845,9010
2018,TLC14,Durham,F (41-43),Construction,598,9865,1085,11090
2019,TLC14,Durham,F (41-43),Construction,635,8665,915,10360
2020,TLC14,Durham,F (41-43),Construction,523,7315,1475,8695
2021,TLC14,Durham,F (41-43),Construction,690,9765,775,10640
2022,TLC14,Durham,F (41-43),Construction,869,9255,650,10415
2015,TLC14,Durham,G-T,Services sector,4359,80360,108230,138000
2016,TLC14,Durham,G-T,Services sector,4293,76795,53815,133730
2017,TLC14,Durham,G-T,Services sector,4550,79430,53885,137800
