DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2021,TLD3,Greater Manchester,A-E,Production sector,8800,100615,9005,113530
2022,TLD3,Greater Manchester,A-E,Production sector,9508,100665,11580,116310
2015,TLD3,Greater Manchester,F (41-43),Construction,3505,47375,3845,53225
2016,TLD3,Greater Manchester,F (41-43),Construction,3716,41985,6785,51310
2017,TLD3,Greater Manchester,F (41-43),Construction,4048,51240,7490,59635
2018,TLD3,Greater Manchester,F (41-43),Construction,4392,49350,9620,61725
2019,TLD3,Greater Manchester,F (41-43),Construction,4225,48210,9585,61660
2020,TLD3,Greater Manchester,F (41-43),Construction,3921,46035,5655,54065
2021,TLD3,Greater Manchester,F (41-43),Construction,4643,63065,11565,77065
2022,TLD3,Greater Manchester,F (41-43),Construction,5430,61015,8075,70015
2015,TLD3,Greater Manchester,G-T,Services sector,46202,694650,361780,1078960
2016,TLD3,Greater Manchester,G-T,Services sector,47736,712505,381420,1113205
2017,TLD3,Greater Manchester,G-T,Services sector,51179,736535,389160,1142240
2018,TLD3,Greater Manchester,G-T,Services sector,53246,761240,386065,1174600
2019,TLD3,Greater Manchester,G-T,Services sector,56179,786735,392270,1197905
2020,TLD3,Greater Manchester,G-T,Services sector,55978,757060,383870,1169545
2021,TLD3,Greater Manchester,G-T,Services sector,60989,815310,383360,1221540
2022,TLD3,Greater Manchester,G-T,Services sector,67648,839610,404495,1259355
2015,TLD4,Lancashire,A-E,Production sector,7295,85915,6505,100045
2016,TLD4,Lancashire,A-E,Production sector,7426,90040,8695,105180
2017,TLD4,Lancashire,A-E,Production sector,7621,90240,8960,106125
2018,TLD4,Lancashire,A-E,Production sector,7472,91055,7995,108390
2019,TLD4,Lancashire,A-E,Production sector,7190,88255,8575,103325
2020,TLD4,Lancashire,A-E,Production sector,7580,90645,10025,108645
2021,TLD4,Lancashire,A-E,Production sector,7938,83190,7170,98165
2022,TLD4,Lancashire,A-E,Production sector,8934,86805,9105,105065
2015,TLD4,Lancashire,F (41-43),Construction,2088,31235,2300,34515
2016,TLD4,Lancashire,F (41-43),Construction,2175,26530,3770,32115
2017,TLD4,Lancashire,F (41-43),Construction,2246,31410,4475,36370
2018,TLD4,Lancashire,F (41-43),Construction,2252,30240,5440,38195
2019,TLD4,Lancashire,F (41-43),Construction,2331,31890,5245,39230
2020,TLD4,Lancashire,F (41-43),Construction,2183,31085,3170,35730
2021,TLD4,Lancashire,F (41-43),Construction,2492,31095,5705,38830
