DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME
2015,TLC1,Tees Valley and Durham,1,Agriculture and hunting,127,870,450
2016,TLC1,Tees Valley and Durham,1,Agriculture and hunting,102,935,580
2017,TLC1,Tees Valley and Durham,1,Agriculture and hunting,101,820,450
2018,TLC1,Tees Valley and Durham,1,Agriculture and hunting,92,910,460
2019,TLC1,Tees Valley and Durham,1,Agriculture and hunting,112,1080,605
2020,TLC1,Tees Valley and Durham,1,Agriculture and hunting,91,1100,545
2021,TLC1,Tees Valley and Durham,1,Agriculture and hunting,103,1205,440
2022,TLC1,Tees Valley and Durham,1,Agriculture and hunting,108,1070,470
2015,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,11,30,0
2016,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,10,70,50
2017,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,9,10,0
2018,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,7,10,0
2019,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,8,70,5
2020,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,8,65,25
2021,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,5,170,25
2022,TLC1,Tees Valley and Durham,2-3,Forestry and fishing,4,50,90
2015,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,172,1440,20
2016,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,113,1430,10
2017,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,86,1175,15
2018,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,97,1215,60
2019,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,109,1020,20
2020,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,73,1760,50
2021,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,73,945,45
2022,TLC1,Tees Valley and Durham,B (5-9),Mining and quarrying,101,1200,75
2015,TLC1,Tees Valley and Durham,10,Manufacture of food products,223,4550,995
2016,TLC1,Tees Valley and Durham,10,Manufacture of food products,269,5090,1065
2017,TLC1,Tees Valley and Durham,10,Manufacture of food products,289,4575,830
2018,TLC1,Tees Valley and Durham,10,Manufacture of food products,355,4710,2160
2019,TLC1,Tees Valley and Durham,10,Manufacture of food products,306,4215,1130
2020,TLC1,Tees Valley and Durham,10,Manufacture of food products,281,4560,830
2021,TLC1,Tees Valley and Durham,10,Manufacture of food products,333,3875,1315
2022,TLC1,Tees Valley and Durham,10,Manufacture of food products,334,4065,890
2015,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,10,285,45
2016,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,10,65,0
2017,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,11,285,5
2018,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,10,370,65
2019,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,8,260,10
2020,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,2,235,5
2021,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,33,235,5
2022,TLC1,Tees Valley and Durham,11-12,Manufacture of beverages and tobacco products,28,275,140
2015,TLC1,Tees Valley and Durham,13,Manufacture of textiles,51,710,230
2016,TLC1,Tees Valley and Durham,13,Manufacture of textiles,50,1585,260
2017,TLC1,Tees Valley and Durham,13,Manufacture of textiles,52,550,155
2018,TLC1,Tees Valley and Durham,13,Manufacture of textiles,47,530,30
2019,TLC1,Tees Valley and Durham,13,Manufacture of textiles,59,435,15
2020,TLC1,Tees Valley and Durham,13,Manufacture of textiles,44,395,165
2021,TLC1,Tees Valley and Durham,13,Manufacture of textiles,57,315,240
2022,TLC1,Tees Valley and Durham,13,Manufacture of textiles,39,910,840
2015,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,31,235,255
2016,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,20,70,20
2017,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,24,325,135
2018,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,25,35,190
2019,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,24,115,25
2020,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,21,215,40
2021,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,31,90,15
2022,TLC1,Tees Valley and Durham,14-15,Manufacture of wearing apparel and leather products,39,105,20
2015,TLC1,Tees Valley and Durham,16-17,Manufacture of wood and paper products,99,2030,310
2016,TLC1,Tees Valley and Durham,16-17,Manufacture of wood and paper products,102,1415,255
2017,TLC1,Tees Valley and Durham,16-17,Manufacture of wood and paper products,109,2535,395
2018,TLC1,Tees Valley and Durham,16-17,Manufacture of wood and paper products,113,1975,45
2019,TLC1,Tees Valley and Durham,16-17,Manufacture of wood and paper products,127,2180,530
2020,TLC1,Tees Valley and Durham,16-17,Manufacture of wood and paper products,99,2830,85
2021,TLC1,Tees Valley and Durham,16-17,Manufacture of wood and paper products,109,1175,205
2022,TLC1,Tees Valley and Durham,16-17,Manufacture of wood and paper products,101,2450,215
2015,TLC1,Tees Valley and Durham,18,Printing and reproduction of recorded media,37,1680,195
2016,TLC1,Tees Valley and Durham,18,Printing and reproduction of recorded media,39,575,80
2017,TLC1,Tees Valley and Durham,18,Printing and reproduction of recorded media,46,400,45
2018,TLC1,Tees Valley and Durham,18,Printing and reproduction of recorded media,35,550,80
2019,TLC1,Tees Valley and Durham,18,Printing and reproduction of recorded media,48,490,45
2020,TLC1,Tees Valley and Durham,18,Printing and reproduction of recorded media,36,540,85
2021,TLC1,Tees Valley and Durham,18,Printing and reproduction of recorded media,39,275,110
2022,TLC1,Tees Valley and Durham,18,Printing and reproduction of recorded media,38,140,80
2015,TLC1,Tees Valley and Durham,CD-CF (19-21),"Manufacture of petroleum, chemicals and pharmaceuticals",1220,6705,295
2016,TLC1,Tees Valley and Durham,CD-CF (19-21),"Manufacture of petroleum, chemicals and pharmaceuticals",1116,7360,125
2017,TLC1,Tees Valley and Durham,CD-CF (19-21),"Manufacture of petroleum, chemicals and pharmaceuticals",1096,6150,165
2018,TLC1,Tees Valley and Durham,CD-CF (19-21),"Manufacture of petroleum, chemicals and pharmaceuticals",1214,6255,375
2019,TLC1,Tees Valley and Durham,CD-CF (19-21),"Manufacture of petroleum, chemicals and pharmaceuticals",1368,6675,365
2020,TLC1,Tees Valley and Durham,CD-CF (19-21),"Manufacture of petroleum, chemicals and pharmaceuticals",1831,4880,490
2021,TLC1,Tees Valley and Durham,CD-CF (19-21),"Manufacture of petroleum, chemicals and pharmaceuticals",1718,6095,230
2022,TLC1,Tees Valley and Durham,CD-CF (19-21),"Manufacture of petroleum, chemicals and pharmaceuticals",1631,6355,205
2015,TLC1,Tees Valley and Durham,22,Manufacture of rubber and plastic products,169,3050,140
2016,TLC1,Tees Valley and Durham,22,Manufacture of rubber and plastic products,149,2825,90
2017,TLC1,Tees Valley and Durham,22,Manufacture of rubber and plastic products,148,4075,150
2018,TLC1,Tees Valley and Durham,22,Manufacture of rubber and plastic products,143,2900,45
2019,TLC1,Tees Valley and Durham,22,Manufacture of rubber and plastic products,127,3275,130
2020,TLC1,Tees Valley and Durham,22,Manufacture of rubber and plastic products,135,3975,100
2021,TLC1,Tees Valley and Durham,22,Manufacture of rubber and plastic products,143,2820,90
2022,TLC1,Tees Valley and Durham,22,Manufacture of rubber and plastic products,142,2645,150
2015,TLC1,Tees Valley and Durham,23,Manufacture of other non-metallic mineral products,144,1265,25
2016,TLC1,Tees Valley and Durham,23,Manufacture of other non-metallic mineral products,96,855,10
2017,TLC1,Tees Valley and Durham,23,Manufacture of other non-metallic mineral products,73,1320,45
2018,TLC1,Tees Valley and Durham,23,Manufacture of other non-metallic mineral products,81,820,190
2019,TLC1,Tees Valley and Durham,23,Manufacture of other non-metallic mineral products,96,1370,70
2020,TLC1,Tees Valley and Durham,23,Manufacture of other non-metallic mineral products,59,540,10
2021,TLC1,Tees Valley and Durham,23,Manufacture of other non-metallic mineral products,52,1195,35
2022,TLC1,Tees Valley and Durham,23,Manufacture of other non-metallic mineral products,41,1215,45
2015,TLC1,Tees Valley and Durham,24,Manufacture of basic metals,198,1750,10
2016,TLC1,Tees Valley and Durham,24,Manufacture of basic metals,234,1810,25
2017,TLC1,Tees Valley and Durham,24,Manufacture of basic metals,151,1500,45
2018,TLC1,Tees Valley and Durham,24,Manufacture of basic metals,113,2500,160
2019,TLC1,Tees Valley and Durham,24,Manufacture of basic metals,115,2450,25
2020,TLC1,Tees Valley and Durham,24,Manufacture of basic metals,223,1910,25
2021,TLC1,Tees Valley and Durham,24,Manufacture of basic metals,69,2440,45
2022,TLC1,Tees Valley and Durham,24,Manufacture of basic metals,49,2050,30
2015,TLC1,Tees Valley and Durham,25,Manufacture of fabricated metal products,408,7645,325
2016,TLC1,Tees Valley and Durham,25,Manufacture of fabricated metal products,421,8730,640
2017,TLC1,Tees Valley and Durham,25,Manufacture of fabricated metal products,409,8910,330
2018,TLC1,Tees Valley and Durham,25,Manufacture of fabricated metal products,426,8215,265
2019,TLC1,Tees Valley and Durham,25,Manufacture of fabricated metal products,455,7970,335
2020,TLC1,Tees Valley and Durham,25,Manufacture of fabricated metal products,579,8060,380
2021,TLC1,Tees Valley and Durham,25,Manufacture of fabricated metal products,387,6780,200
2022,TLC1,Tees Valley and Durham,25,Manufacture of fabricated metal products,356,6370,160
2015,TLC1,Tees Valley and Durham,CI (26),"Manufacture of computer, electronic and optical products",69,1060,50
2016,TLC1,Tees Valley and Durham,CI (26),"Manufacture of computer, electronic and optical products",74,1030,220
2017,TLC1,Tees Valley and Durham,CI (26),"Manufacture of computer, electronic and optical products",88,1750,40
2018,TLC1,Tees Valley and Durham,CI (26),"Manufacture of computer, electronic and optical products",98,1640,285
2019,TLC1,Tees Valley and Durham,CI (26),"Manufacture of computer, electronic and optical products",107,700,90
2020,TLC1,Tees Valley and Durham,CI (26),"Manufacture of computer, electronic and optical products",157,1940,85
2021,TLC1,Tees Valley and Durham,CI (26),"Manufacture of computer, electronic and optical products",130,1665,125
2022,TLC1,Tees Valley and Durham,CI (26),"Manufacture of computer, electronic and optical products",157,1500,65
2015,TLC1,Tees Valley and Durham,CJ (27),Manufacture of electrical equipment,81,2150,25
2016,TLC1,Tees Valley and Durham,CJ (27),Manufacture of electrical equipment,73,1375,100
2017,TLC1,Tees Valley and Durham,CJ (27),Manufacture of electrical equipment,72,1705,5
2018,TLC1,Tees Valley and Durham,CJ (27),Manufacture of electrical equipment,66,1280,50
2019,TLC1,Tees Valley and Durham,CJ (27),Manufacture of electrical equipment,68,1045,0
2020,TLC1,Tees Valley and Durham,CJ (27),Manufacture of electrical equipment,111,1195,10
2021,TLC1,Tees Valley and Durham,CJ (27),Manufacture of electrical equipment,69,1205,40
