DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME
2018,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",295,2150,110
2019,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",312,2025,125
2020,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",343,1995,120
2021,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",259,2075,190
2022,TLC11,Hartlepool and Stockton-on-Tees,DE (35-39),"Electricity, gas, water; sewerage and waste management",305,2020,290
2015,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,132,2025,300
2016,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,168,1355,130
2017,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,159,1725,900
2018,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,186,1575,240
2019,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,206,1725,225
2020,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,132,1460,130
2021,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,187,2345,120
2022,TLC11,Hartlepool and Stockton-on-Tees,41,Construction of buildings,218,1600,75
2015,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,108,1265,290
2016,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,111,1405,50
2017,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,88,1200,350
2018,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,97,1810,15
2019,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,97,1380,130
2020,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,74,735,90
2021,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,108,835,15
2022,TLC11,Hartlepool and Stockton-on-Tees,42,Civil engineering,106,1495,10
2015,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,208,3460,780
2016,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,201,3140,640
2017,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,216,2415,455
2018,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,213,3655,575
2019,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,236,3165,465
2020,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,195,3270,860
2021,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,234,3990,530
2022,TLC11,Hartlepool and Stockton-on-Tees,43,Specialised construction activities,254,3490,495
2015,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,129,2215,530
2016,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,115,2180,415
2017,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,130,1980,240
2018,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,123,1985,445
2019,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,121,1925,220
2020,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,108,2225,255
2021,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,192,1980,435
2022,TLC11,Hartlepool and Stockton-on-Tees,45,Motor trades,196,1735,430
2015,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,112,2875,730
2016,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,133,2675,595
2017,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,213,3195,390
2018,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,312,2920,375
2019,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,333,2675,500
2020,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,314,2520,340
2021,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,362,2610,470
2022,TLC11,Hartlepool and Stockton-on-Tees,46,Wholesale trade,419,2975,395
2015,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,405,4110,15070
2016,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,360,3975,7705
2017,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,324,4085,8015
2018,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,371,4570,7725
2019,TLC11,Hartlepool and Stockton-on-Tees,47,Retail trade,330,4500,7955
