ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TLC31,Hartlepool and Stockton-on-Tees,A-E,Production sector,1013,994,968,874,946,1031,1027,1031,1107,1194,1213,1271,1222,1106,1202,1329,1252,1257,1215,1153,1174,1252,1301,1174,1228,1218
TLC31,Hartlepool and Stockton-on-Tees,F (41-43),Construction,233,280,325,327,340,406,414,453,445,504,478,448,404,425,380,402,423,448,479,463,497,539,397,547,623,716
TLC31,Hartlepool and Stockton-on-Tees,G-T,Services sector,2070,2195,2265,2385,2499,2618,2903,3013,3266,3373,3477,3590,3670,3786,3835,3918,4081,4399,4591,4606,4597,4802,4850,5078,5547,5792
TLC32,South Teesside,A-E,Production sector,776,735,722,607,612,729,659,659,613,583,697,627,666,636,622,662,692,763,716,652,713,682,668,728,761,714
TLC32,South Teesside,F (41-43),Construction,122,146,169,169,174,218,227,250,249,286,285,274,238,247,259,242,254,253,260,248,264,260,198,253,283,357
TLC32,South Teesside,G-T,Services sector,1835,1928,1995,2090,2179,2261,2494,2651,2851,2921,2989,3089,3088,3171,3228,3231,3320,3398,3477,3571,3769,3867,3716,4008,4534,4904
TLC33,Darlington,A-E,Production sector,450,438,472,399,425,429,429,396,370,356,450,384,418,405,342,275,299,319,339,342,309,299,221,220,196,228
TLC33,Darlington,F (41-43),Construction,38,45,52,53,55,67,68,75,74,84,80,75,66,69,74,103,141,146,125,153,170,189,153,135,82,100
TLC33,Darlington,G-T,Services sector,1031,1070,1147,1325,1419,1526,1660,1672,1734,1698,1736,1686,1724,1790,1869,1944,2134,2260,2110,2065,2050,2016,1927,2160,2455,2698
TLC41,Durham,A-E,Production sector,1511,1542,1517,1469,1651,1833,1898,1910,2045,2135,2283,2280,2340,2112,2148,2144,2176,2310,2360,2362,2591,2721,3028,3019,3107,3826
TLC41,Durham,F (41-43),Construction,238,285,330,332,346,415,425,465,458,519,496,466,417,438,491,478,509,561,543,525,598,635,519,713,916,1098
TLC41,Durham,G-T,Services sector,2893,3052,3168,3342,3422,3546,3942,4167,4491,4614,4774,4915,4917,4993,5090,5232,5146,5031,5029,5328,5462,5714,5592,6011,6547,7198
TLC42,Northumberland,A-E,Production sector,978,909,897,880,1002,1000,1003,999,1053,1112,1134,1190,1260,1268,1247,1166,1234,1258,1339,1404,1384,1481,1466,1482,1662,1784
TLC42,Northumberland,F (41-43),Construction,158,171,171,187,218,227,252,277,290,283,279,221,229,245,267,314,308,327,257,269,293,313,222,290,358,453
TLC42,Northumberland,G-T,Services sector,1898,1948,2010,2119,2220,2335,2570,2677,2816,2849,2966,2882,2913,2988,3020,3023,3122,3160,3304,3317,3355,3584,3384,3743,4069,4367
TLC43,Tyneside,A-E,Production sector,1903,1801,1796,1761,1881,1847,1873,1935,2083,2126,2062,1945,2108,2152,2258,2294,2252,2182,2041,2024,2072,2158,2000,2085,1973,2238
TLC43,Tyneside,F (41-43),Construction,574,622,624,678,784,798,892,984,1030,1006,1018,827,856,901,847,842,923,1031,1082,1148,1145,1260,873,1191,1333,1676
TLC43,Tyneside,G-T,Services sector,7600,7670,7955,8657,9319,9950,11024,11715,12240,12423,12646,12590,12911,13439,13992,13771,14284,14985,15497,16218,16312,17077,15893,17894,19575,21560
TLC44,Sunderland,A-E,Production sector,1137,1021,1108,1118,1223,1232,1292,1281,1384,1364,1579,1684,1594,1370,1557,1866,1966,2012,2145,2324,2127,2417,1861,1631,1540,1927
TLC44,Sunderland,F (41-43),Construction,180,195,196,212,245,248,275,303,318,305,298,247,255,275,244,272,299,322,317,311,327,365,274,335,442,566
TLC44,Sunderland,G-T,Services sector,2179,2208,2252,2425,2576,2747,3090,3319,3461,3515,3482,3527,3543,3804,3801,3939,4049,4146,4093,4235,4336,4428,4154,4543,5133,5468
TLD13,Cumberland,A-E,Production sector,1499,1594,1286,1297,1341,1329,1253,1459,1528,1391,1628,1553,1583,1477,1513,1650,1900,1873,1618,1494,1473,1429,1317,1231,1526,1659
TLD13,Cumberland,F (41-43),Construction,183,210,231,221,251,296,322,334,365,413,446,376,364,385,363,421,420,500,495,476,482,465,367,471,493,584
TLD13,Cumberland,G-T,Services sector,2002,2075,2192,2255,2353,2563,2678,2794,3046,3216,3354,3388,3493,3475,3586,3715,3766,3836,3942,4007,4113,4374,3916,4039,4681,5067
TLD14,Westmorland and Furness,A-E,Production sector,934,836,846,745,843,908,979,960,1063,1099,1196,1192,1184,1197,1263,1290,1411,1486,1479,1636,1688,1855,2066,2113,2304,2657
TLD14,Westmorland and Furness,F (41-43),Construction,132,151,165,158,180,209,227,237,258,290,312,256,251,266,287,272,256,263,257,268,297,289,219,330,323,359
TLD14,Westmorland and Furness,G-T,Services sector,1800,1891,1982,2055,2182,2356,2451,2511,2708,2799,2941,2871,2980,2979,3155,3168,3260,3466,3509,3613,3708,4012,3521,3797,4408,4730
TLD33,Manchester,A-E,Production sector,873,854,844,769,722,698,701,695,746,762,841,897,940,880,1101,1169,1234,1264,1195,1240,1186,1255,1509,1115,1339,1393
