ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TLE4,West Yorkshire,F (41-43),Construction,1508,1757,1864,1888,2013,2208,2439,2826,3046,2982,2806,2240,2180,2317,2312,2489,2579,2872,2971,3172,3424,3605,2821,3377,4152,4943
TLE4,West Yorkshire,G-T,Services sector,19544,20913,21571,22511,23607,25644,27779,29614,30976,32712,32761,33005,33460,34488,35009,35648,36906,38679,39693,41509,43676,44827,43944,48599,53460,58047
TLF1,Derbyshire and Nottinghamshire,A-E,Production sector,7485,7930,7848,7581,7781,7910,8151,8308,8544,8449,8354,7921,8393,8845,9508,10488,10495,10176,9992,9982,10435,11435,11743,11683,11565,12653
TLF1,Derbyshire and Nottinghamshire,F (41-43),Construction,1435,1589,1616,1700,1947,1987,2114,2555,2765,2855,2964,2310,2248,2459,2527,2618,2690,2886,3016,3124,3194,3354,3221,3484,4162,4504
TLF1,Derbyshire and Nottinghamshire,G-T,Services sector,16083,16378,16837,18063,18825,19759,21257,22799,23593,24811,25898,25991,27005,27525,28147,28563,29543,30851,32084,33325,34798,35585,35428,37607,41200,44488
TLF2,"Leicestershire, Rutland and Northamptonshire",A-E,Production sector,5909,5617,6003,5989,6128,6291,6383,6198,6458,6825,7413,7220,7600,7551,8322,8852,9144,9165,8934,9248,9504,9809,8982,9200,9246,10242
TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,1408,1544,1848,1836,1886,1946,2252,2558,2487,2607,2430,2064,2000,2035,2029,2228,2495,2924,2935,3117,3432,3661,2844,3634,4382,5157
TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services sector,14193,14812,15407,16169,16725,18024,19061,20215,22117,23372,24500,24083,25081,24944,25525,26303,27683,28707,30175,31200,32797,33569,32898,36593,40157,43624
TLF3,Lincolnshire,A-E,Production sector,2556,2527,2576,2583,2744,2796,2469,2370,2360,2531,2727,2636,2633,2781,2926,3162,3226,3261,3388,3583,3731,3739,3666,3789,3772,4235
TLF3,Lincolnshire,F (41-43),Construction,430,514,548,624,666,733,798,795,859,845,889,735,765,745,739,842,861,991,1000,1063,993,1060,959,1083,1239,1382
TLF3,Lincolnshire,G-T,Services sector,4764,4824,5115,5616,5880,6285,6467,6784,7427,7831,8256,8124,8230,8292,8703,9008,9310,9361,9405,10050,10502,11183,10877,11892,12531,13437
TLG1,"Herefordshire, Worcestershire and Warwickshire",A-E,Production sector,4147,4090,4512,4271,4283,4345,4324,4306,4721,4712,4957,4656,5106,5548,6075,6751,7470,8010,8007,9087,9502,9432,8590,8575,9153,11361
TLG1,"Herefordshire, Worcestershire and Warwickshire",F (41-43),Construction,943,1151,1199,1264,1278,1408,1676,1725,1776,1895,1930,1484,1475,1582,1673,1872,1937,2070,2056,2327,2373,2608,2066,2277,2688,3046
TLG1,"Herefordshire, Worcestershire and Warwickshire",G-T,Services sector,11753,12618,12971,13474,14042,14987,15655,16476,17356,17464,18282,18244,18542,19305,20302,21077,21941,22564,23020,24617,25424,25947,25543,26516,30448,33203
TLG2,Shropshire and Staffordshire,A-E,Production sector,5378,5160,5124,5058,5307,5222,4956,4874,4947,4942,5218,4633,5098,5343,5538,5984,6167,6200,6284,6566,6950,7007,6742,7664,7660,8006
TLG2,Shropshire and Staffordshire,F (41-43),Construction,1179,1155,1316,1367,1491,1616,1700,1910,2049,1975,1928,1559,1603,1728,1668,1876,1975,2294,2410,2538,2557,2622,2208,2495,2869,3054
TLG2,Shropshire and Staffordshire,G-T,Services sector,11800,12292,12555,13332,14031,15089,16567,17387,17940,18619,19710,19454,19734,20165,20552,20948,21583,22236,23166,24230,25209,26179,25591,29297,30028,32577
TLG3,West Midlands,A-E,Production sector,10051,9762,9986,9690,9389,9388,8983,8883,8607,8628,8843,8455,8833,9139,9603,10737,11641,11821,12278,12266,11943,11619,10017,9915,10330,11782
TLG3,West Midlands,F (41-43),Construction,1735,1906,2000,2213,2621,2673,2868,3224,3431,3744,3524,2786,2846,2664,2682,2839,3255,3301,3532,3579,3806,4028,3782,3974,5049,5644
