ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
TLC11,Hartlepool and Stockton-on-Tees,A-E,Production sector,1013,994,968,874,946,1031,1027,1031,1107,1194,1213,1271,1222,1106,1202,1329,1252,1257,1215,1154,1174,1250,1299,1281,1472
TLC11,Hartlepool and Stockton-on-Tees,F (41-43),Construction,233,280,325,327,340,406,414,453,445,504,478,448,404,425,380,402,423,448,479,463,497,539,400,529,578
TLC11,Hartlepool and Stockton-on-Tees,G-T,Services sector,2071,2195,2266,2385,2498,2617,2902,3013,3265,3372,3476,3588,3669,3786,3829,3913,4079,4397,4582,4592,4583,4780,4869,5126,5485
TLC12,South Teesside,A-E,Production sector,776,735,722,607,612,729,659,660,613,583,697,627,666,636,622,663,692,763,716,653,712,680,659,688,822
TLC12,South Teesside,F (41-43),Construction,122,146,169,169,174,218,227,250,249,286,285,274,238,247,259,242,254,253,260,248,264,260,199,245,272
TLC12,South Teesside,G-T,Services sector,1835,1928,1996,2089,2178,2259,2492,2649,2849,2918,2986,3086,3086,3170,3224,3227,3315,3395,3478,3572,3776,3864,3712,4037,4386
TLC13,Darlington,A-E,Production sector,450,438,472,399,425,429,429,396,370,356,450,384,418,405,342,275,299,319,339,343,309,298,218,228,218
TLC13,Darlington,F (41-43),Construction,38,45,52,53,55,67,68,75,74,84,80,75,66,69,74,103,141,146,125,153,170,189,154,133,76
TLC13,Darlington,G-T,Services sector,1030,1069,1146,1323,1417,1525,1658,1670,1732,1696,1734,1683,1722,1787,1868,1940,2132,2257,2105,2059,2043,2008,1929,2185,2418
TLC14,Durham CC,A-E,Production sector,1511,1541,1515,1467,1651,1834,1898,1911,2046,2136,2284,2282,2341,2113,2148,2145,2176,2310,2359,2366,2594,2729,3042,3057,3308
TLC14,Durham CC,F (41-43),Construction,238,285,330,332,346,415,425,465,458,519,496,466,417,438,491,478,509,561,543,525,598,635,523,690,869
TLC14,Durham CC,G-T,Services sector,2894,3052,3169,3339,3418,3542,3938,4163,4486,4609,4768,4909,4914,4992,5089,5226,5143,5033,5019,5299,5454,5686,5580,6011,6477
TLC21,Northumberland,A-E,Production sector,977,908,896,880,1002,1000,1003,999,1053,1111,1134,1190,1259,1268,1246,1166,1234,1258,1339,1405,1385,1481,1473,1485,1861
TLC21,Northumberland,F (41-43),Construction,158,171,171,187,218,227,252,277,290,283,279,221,229,245,267,314,308,327,257,269,293,314,223,289,361
TLC21,Northumberland,G-T,Services sector,1899,1949,2011,2119,2218,2333,2568,2675,2814,2847,2964,2879,2910,2986,3016,3024,3118,3162,3302,3319,3356,3563,3400,3715,4079
TLC22,Tyneside,A-E,Production sector,1902,1800,1796,1761,1880,1847,1872,1935,2083,2125,2062,1945,2108,2152,2258,2295,2252,2182,2041,2024,2073,2152,1991,2083,2139
TLC22,Tyneside,F (41-43),Construction,574,622,624,678,784,798,892,984,1030,1006,1018,827,856,901,847,842,923,1031,1082,1148,1145,1260,881,1201,1380
TLC22,Tyneside,G-T,Services sector,7598,7668,7954,8647,9306,9934,11007,11698,12220,12404,12631,12570,12893,13424,13975,13760,14268,14962,15472,16208,16314,17037,15932,17780,19676
TLC23,Sunderland,A-E,Production sector,1137,1021,1108,1118,1223,1232,1292,1281,1384,1364,1579,1684,1594,1370,1557,1866,1966,2012,2145,2324,2127,2424,1861,1742,1851
TLC23,Sunderland,F (41-43),Construction,180,195,196,212,245,248,275,303,318,305,298,247,255,275,244,272,299,322,317,311,327,365,277,338,427
TLC23,Sunderland,G-T,Services sector,2179,2208,2252,2423,2574,2744,3087,3316,3457,3511,3479,3523,3539,3801,3797,3937,4034,4154,4105,4254,4337,4414,4175,4491,4953
TLD11,West Cumbria,A-E,Production sector,1535,1591,1252,1180,1253,1254,1209,1338,1407,1324,1563,1514,1558,1503,1591,1667,1916,1938,1780,1766,1811,1766,1830,1840,1872
TLD11,West Cumbria,F (41-43),Construction,132,151,165,160,183,208,225,235,254,284,302,247,243,257,256,301,280,310,306,280,303,289,251,336,413
TLD11,West Cumbria,G-T,Services sector,1343,1382,1472,1494,1563,1693,1784,1880,2049,2169,2287,2302,2390,2409,2530,2587,2607,2676,2701,2749,2818,3002,2649,2738,2903
TLD12,East Cumbria,A-E,Production sector,898,839,879,863,932,984,1023,1081,1184,1167,1263,1232,1210,1171,1185,1273,1396,1423,1317,1379,1354,1524,1555,1630,1766
TLD12,East Cumbria,F (41-43),Construction,182,209,231,218,248,296,325,335,368,419,456,386,372,394,394,393,396,454,446,464,477,465,342,481,548
TLD12,East Cumbria,G-T,Services sector,2460,2586,2703,2815,2971,3225,3344,3424,3703,3844,4007,3963,4088,4059,4218,4311,4432,4638,4757,4889,5013,5370,4805,5187,5762
TLD33,Manchester,A-E,Production sector,873,854,844,769,722,698,701,695,746,762,841,897,940,880,1101,1169,1234,1264,1195,1237,1183,1252,1466,1096,1165
TLD33,Manchester,F (41-43),Construction,305,320,334,359,384,415,488,515,516,581,614,502,442,440,505,528,561,614,644,754,813,797,801,1042,1238
TLD33,Manchester,G-T,Services sector,7694,8134,8362,9181,9841,10443,11274,12280,13206,13896,14099,14658,15159,15266,15767,16131,16612,17469,18751,20678,21480,23232,22515,25367,29103
TLD34,Greater Manchester South West,A-E,Production sector,1488,1573,1618,1613,1625,1621,1561,1575,1651,1668,1773,1692,1712,1713,1675,1815,1900,1931,1892,2037,2172,2189,2304,2213,2285
