ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
TLE4,West Yorkshire,G-T,Services sector,19544,20912,21570,22504,23597,25634,27768,29602,30964,32703,32752,32998,33457,34486,35007,35656,36901,38687,39697,41522,43713,44823,44021,48586,53100
TLF1,Derbyshire and Nottinghamshire,A-E,Production sector,7485,7930,7848,7582,7782,7910,8151,8308,8544,8448,8354,7921,8392,8845,9509,10488,10494,10175,9991,10001,10438,11440,11710,11878,11853
TLF1,Derbyshire and Nottinghamshire,F (41-43),Construction,1435,1589,1616,1700,1947,1987,2114,2555,2765,2855,2964,2310,2248,2459,2527,2618,2690,2886,3016,3124,3194,3354,3239,3550,4039
TLF1,Derbyshire and Nottinghamshire,G-T,Services sector,16085,16381,16840,18061,18819,19752,21251,22792,23587,24802,25892,25982,26999,27538,28148,28576,29571,30867,32103,33364,34822,35595,35502,37854,40402
TLF2,"Leicestershire, Rutland and Northamptonshire",A-E,Production sector,5908,5616,6002,5986,6124,6288,6381,6195,6457,6825,7413,7221,7600,7551,8321,8851,9142,9164,8933,9262,9508,9812,8919,9344,10129
TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,1408,1544,1848,1836,1886,1946,2252,2558,2487,2607,2430,2064,2000,2035,2029,2228,2495,2924,2935,3117,3432,3661,2852,3523,4210
TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services sector,14196,14815,15411,16169,16724,18022,19058,20211,22113,23369,24498,24068,25076,24943,25505,26317,27690,28718,30178,31243,32840,33528,32982,36723,40031
TLF3,Lincolnshire,A-E,Production sector,2556,2527,2576,2583,2745,2796,2469,2370,2360,2531,2727,2635,2633,2781,2927,3162,3225,3259,3386,3601,3722,3734,3648,3805,4015
TLF3,Lincolnshire,F (41-43),Construction,430,514,548,624,666,733,798,795,859,845,889,735,765,745,739,842,861,991,1000,1063,993,1060,961,1073,1225
TLF3,Lincolnshire,G-T,Services sector,4765,4825,5115,5615,5878,6283,6466,6783,7425,7828,8254,8124,8217,8303,8701,9021,9311,9385,9426,10071,10523,11182,10931,12070,12891
TLG1,"Herefordshire, Worcestershire and Warwickshire",A-E,Production sector,4147,4090,4511,4271,4283,4345,4324,4306,4720,4712,4957,4656,5105,5548,6075,6751,7469,8009,8006,9100,9499,9434,8552,8545,8235
TLG1,"Herefordshire, Worcestershire and Warwickshire",F (41-43),Construction,943,1151,1199,1264,1278,1408,1676,1725,1776,1895,1930,1484,1475,1582,1673,1872,1937,2070,2056,2327,2373,2608,2079,2260,2580
TLG1,"Herefordshire, Worcestershire and Warwickshire",G-T,Services sector,11755,12621,12974,13474,14041,14985,15655,16475,17356,17463,18282,18229,18535,19296,20295,21079,21954,22569,23037,24610,25417,25909,25689,26775,29708
TLG2,Shropshire and Staffordshire,A-E,Production sector,5378,5160,5124,5057,5307,5222,4956,4874,4947,4942,5217,4633,5098,5343,5538,5984,6166,6199,6282,6600,6958,7017,6739,7703,8609
TLG2,Shropshire and Staffordshire,F (41-43),Construction,1179,1155,1316,1367,1491,1616,1700,1910,2049,1975,1928,1559,1603,1728,1668,1876,1975,2294,2410,2538,2557,2622,2221,2477,2830
TLG2,Shropshire and Staffordshire,G-T,Services sector,11803,12293,12558,13329,14026,15083,16563,17383,17935,18612,19704,19436,19729,20174,20554,20940,21581,22241,23154,24176,25203,26070,25670,29815,32073
TLG3,West Midlands,A-E,Production sector,10051,9762,9986,9690,9389,9388,8983,8883,8607,8628,8843,8455,8832,9139,9603,10737,11641,11820,12278,12266,11943,11619,10004,9783,10076
TLG3,West Midlands,F (41-43),Construction,1735,1906,2000,2213,2621,2673,2868,3224,3431,3744,3524,2786,2846,2664,2682,2839,3255,3301,3532,3579,3806,4028,3800,4114,4776
TLG3,West Midlands,G-T,Services sector,23557,24553,25213,27084,28209,29955,31966,33856,35027,36597,37498,37308,38750,39721,40620,41690,43200,45137,48589,50776,52884,54123,51331,56090,61483
TLH1,East Anglia,A-E,Production sector,7509,7235,7499,7458,7845,7870,7509,7453,7992,8242,8961,8759,9059,9639,10037,10436,10918,10643,10416,10856,10740,11270,11004,11432,12384
TLH1,East Anglia,F (41-43),Construction,1625,1841,1994,2135,2381,2568,2701,2856,3222,3241,3223,2905,2865,3042,2957,3120,3481,3806,4109,4231,4507,4780,4598,4710,5620
TLH1,East Anglia,G-T,Services sector,21185,22531,23732,25197,26210,27797,29516,31644,33894,35009,35803,35832,36441,36688,38559,39789,40965,42247,44326,46842,47546,50465,49043,52762,56199
TLH2,Bedfordshire and Hertfordshire,A-E,Production sector,4893,4987,5098,4915,4949,5170,5033,5577,5929,6138,6891,6282,6057,5856,5913,6436,6833,6854,7132,7414,7197,7396,7237,7438,7924
TLH2,Bedfordshire and Hertfordshire,F (41-43),Construction,1803,2063,2350,2418,2679,2734,2805,3196,3096,3273,3440,2753,2819,3129,3318,3717,4147,4721,4842,5129,5264,5258,4561,4738,5480
TLH2,Bedfordshire and Hertfordshire,G-T,Services sector,19615,20743,21904,23370,24144,25674,26840,28290,29010,30392,31733,31203,30954,30758,31313,33093,35354,36704,38434,41890,43134,45148,42316,46607,50879
TLH3,Essex,A-E,Production sector,4758,4388,4418,4393,4302,4456,4353,4440,4663,4679,4924,4414,4853,4702,4924,5092,5144,5025,5165,5266,5284,5226,4927,5073,5649
TLH3,Essex,F (41-43),Construction,1696,1791,1906,2149,2341,2604,2551,2813,2862,3124,3041,2831,2955,3125,2965,3270,3809,4220,4273,4849,5095,5150,4000,4833,5629
TLH3,Essex,G-T,Services sector,14467,15016,16042,17393,17998,19917,20668,21288,22181,22996,23776,23559,24044,23850,24713,25116,26416,27822,29504,31947,33073,34026,31865,35788,39539
TLI3,Inner London - West,A-E,Production sector,1887,1954,2056,1977,2053,1905,2040,1949,2166,2393,2361,2541,2171,1975,1863,1985,2112,2394,2342,2632,2870,3390,3800,3560,3924
TLI3,Inner London - West,F (41-43),Construction,1284,1481,1914,2032,1846,1961,1922,1932,2173,2618,3355,2744,2703,2902,3324,3994,4199,4445,4434,4473,4671,4887,3969,4226,5252
TLI3,Inner London - West,G-T,Services sector,67475,70209,76397,79218,82849,88439,93680,103731,110027,121205,123704,125407,132013,136784,142536,150865,162171,167203,182869,191443,201111,208973,199598,221446,244030
TLI4,Inner London - East,A-E,Production sector,2499,2555,2620,2472,2508,2335,2380,2334,2417,2581,2579,2781,2641,2690,2823,2884,2670,2613,2516,2688,2756,2854,3005,3243,3300
TLI4,Inner London - East,F (41-43),Construction,1235,1388,1723,1798,1696,1783,1839,1932,2192,2552,2808,2539,2782,2945,3015,3235,3399,3799,3790,4230,4639,4582,3186,3242,3639
TLI4,Inner London - East,G-T,Services sector,35977,37712,41358,43293,45144,48142,51120,56274,59395,65462,68824,69564,72984,78342,79857,82840,88277,91797,96678,100934,103415,106190,99793,105834,118917
TLI5,Outer London - East and North East,A-E,Production sector,3131,3164,3120,3028,2870,2745,2750,2746,2972,3024,3131,3115,3215,3205,3450,3713,3668,3388,3179,3218,3224,3266,2735,2733,3023
TLI5,Outer London - East and North East,F (41-43),Construction,1438,1587,1685,1828,1965,2118,2148,2286,2452,2712,2850,2299,2612,2679,2807,3002,3177,3457,3780,3963,4202,4247,3505,4097,4627
TLI5,Outer London - East and North East,G-T,Services sector,14627,15374,16044,16742,17568,18866,19847,21030,22250,23319,23557,22073,22751,22998,24387,25395,26453,27754,28924,28952,29940,31218,27554,29467,32403
TLI6,Outer London - South,A-E,Production sector,1465,1473,1466,1412,1327,1279,1242,1262,1333,1277,1160,1071,1063,980,1000,1033,1018,952,945,1011,1014,1074,1086,936,971
TLI6,Outer London - South,F (41-43),Construction,1128,1245,1331,1423,1501,1597,1628,1738,1865,2089,2182,1760,1860,1943,2081,2089,2251,2267,2360,2658,2694,2764,2265,2275,2524
TLI6,Outer London - South,G-T,Services sector,14960,15848,16568,17169,17849,18986,19939,21078,22108,23432,23604,22517,22579,22601,23632,24195,25689,26095,27299,27279,28197,29056,26451,27527,29643
TLI7,Outer London - West and North West,A-E,Production sector,3139,3363,3454,3444,3405,3180,3082,3157,3327,3229,3231,3461,3460,3382,3494,3656,3564,3453,3408,3565,3871,3990,3767,3864,4212
TLI7,Outer London - West and North West,F (41-43),Construction,1725,1916,2052,2207,2354,2518,2564,2722,2916,3246,3465,2880,3062,3184,3434,3689,4103,4589,4895,5236,5750,5683,4742,5117,5815
