ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TLE4,West Yorkshire,A-E,Production sector,6860,7218,7277,8136,8200,8343,8143,8250,8952,9184,9138,8849,8520,8068,8502,8787,8937,9605,9436,9372,9858,9965,9688,10287,9845,9448
TLE4,West Yorkshire,F (41-43),Construction,4169,4588,4445,4222,4152,4154,4322,4512,4692,4223,3636,2931,3068,3314,3219,3365,3364,3573,3527,3687,3734,3826,3039,3636,4152,4543
TLE4,West Yorkshire,G-T,Services sector,31849,33366,34435,34829,35569,37653,39575,41245,41336,43877,42901,41606,42167,43439,43837,43922,44713,46054,46683,48214,49811,49911,44583,50180,53460,53730
TLF1,Derbyshire and Nottinghamshire,A-E,Production sector,9478,10473,10550,10816,11093,11496,12029,12183,12574,12125,11512,10385,10667,11161,11433,12128,11984,11474,11117,10834,11356,12241,13321,13189,11565,11486
TLF1,Derbyshire and Nottinghamshire,F (41-43),Construction,3916,4099,3806,3758,3969,3693,3698,4025,4193,3981,3827,3039,3171,3527,3518,3524,3490,3582,3591,3645,3519,3594,3503,3770,4162,4143
TLF1,Derbyshire and Nottinghamshire,G-T,Services sector,28877,28759,29305,30200,30344,30917,32306,33741,33893,34607,35006,34201,35691,36289,36613,36618,37251,38158,38981,39901,40504,40178,35912,39052,41200,40992
TLF2,"Leicestershire, Rutland and Northamptonshire",A-E,Production sector,6076,6160,6675,7149,7408,7827,7936,7393,8052,8203,8385,8050,8184,8030,8642,9294,9482,9852,9797,9673,10244,10533,9986,10501,9246,9159
TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,3904,4042,4414,4110,3891,3658,3993,4087,3834,3695,3153,2708,2820,2916,2830,3017,3261,3643,3482,3619,3733,3874,3050,3915,4382,4742
TLF2,"Leicestershire, Rutland and Northamptonshire",G-T,Services sector,26110,26671,27508,27705,27656,28989,29851,30863,33006,33793,34269,32559,34000,33747,34138,34555,35597,36001,37152,37674,38380,38158,33824,38084,40157,40380
TLF3,Lincolnshire,A-E,Production sector,2850,3072,3204,3320,3588,3676,3281,3400,3381,3409,3599,3346,3106,3326,3277,3428,3639,3573,3789,3887,4013,4104,4029,4068,3772,3992
TLF3,Lincolnshire,F (41-43),Construction,1153,1303,1268,1356,1337,1342,1376,1235,1286,1162,1131,954,1065,1055,1017,1122,1106,1218,1179,1229,1082,1124,1029,1165,1239,1270
TLF3,Lincolnshire,G-T,Services sector,8873,8769,9121,9607,9678,10016,10032,10216,10917,11083,11271,10843,11036,11080,11443,11697,11861,11642,11490,12070,12225,12640,11126,12370,12531,12375
TLG1,"Herefordshire, Worcestershire and Warwickshire",A-E,Production sector,4583,4790,5394,5475,5430,5595,5576,5500,6266,6063,6208,5601,5711,6297,6454,7035,7897,8814,8670,9549,10054,9769,9529,9887,9153,10166
TLG1,"Herefordshire, Worcestershire and Warwickshire",F (41-43),Construction,2587,2983,2837,2809,2621,2633,2949,2734,2710,2659,2500,1952,2083,2272,2334,2532,2529,2581,2446,2710,2599,2778,2231,2462,2688,2802
TLG1,"Herefordshire, Worcestershire and Warwickshire",G-T,Services sector,20018,20932,21447,21295,21587,22363,22640,23255,23767,23228,23542,23086,23928,24746,25653,26169,26881,27203,27252,28764,28992,28773,26396,27679,30448,30650
TLG2,Shropshire and Staffordshire,A-E,Production sector,6330,6381,6504,6793,7171,7087,6837,6682,7043,6837,6979,6004,6067,6408,6486,6734,7118,7020,7011,7141,7629,7544,7676,8600,7660,7371
TLG2,Shropshire and Staffordshire,F (41-43),Construction,3231,2991,3109,3033,3053,3018,2992,3030,3134,2777,2493,2046,2258,2475,2323,2533,2571,2854,2865,2954,2802,2798,2389,2698,2869,2809
TLG2,Shropshire and Staffordshire,G-T,Services sector,20377,20728,21081,21509,21973,22857,24386,24948,25155,25340,26031,25112,25683,26233,26416,26587,26912,27186,27880,28761,29157,29429,26064,30468,30028,30061
TLG3,West Midlands,A-E,Production sector,12158,12874,13265,14209,13405,13626,12986,12265,12328,12121,11771,10620,10675,11057,11162,11890,12937,13474,13329,13052,12708,11887,11138,11110,10330,10877
TLG3,West Midlands,F (41-43),Construction,4792,4976,4768,4951,5400,5021,5075,5141,5268,5285,4563,3662,4016,3821,3744,3844,4247,4110,4196,4162,4165,4286,4085,4289,5049,5188
TLG3,West Midlands,G-T,Services sector,40663,41507,42590,44124,44644,45949,47460,49045,49057,50445,50332,48273,50264,51260,52000,52357,53338,54895,58204,60055,61213,61133,52158,58241,60736,60824
TLH2,Bedfordshire and Hertfordshire,A-E,Production sector,5600,5970,6216,6428,6506,6845,6720,7433,8063,8302,8928,7674,7090,6649,6618,7115,7575,7661,7621,7774,7618,7782,8038,8426,7870,8347
TLH2,Bedfordshire and Hertfordshire,F (41-43),Construction,4916,5315,5526,5341,5457,5067,4891,5020,4685,4551,4397,3588,3941,4447,4580,4971,5352,5827,5743,5961,5767,5599,4883,5087,5239,5321
TLH2,Bedfordshire and Hertfordshire,G-T,Services sector,28378,29541,31636,32468,32634,34072,34980,36383,36674,37651,38194,36795,37201,36987,37312,38987,41338,42268,43651,47029,47495,48638,42624,47371,49887,50050
TLH3,Essex,A-E,Production sector,4906,4860,5097,5485,5468,5733,5700,5804,6362,6234,6439,5712,5723,5527,5579,5551,5732,5573,5580,5557,5642,5488,5474,5612,5794,5610
TLH3,Essex,F (41-43),Construction,4686,4683,4550,4823,4852,4924,4536,4507,4418,4433,3947,3716,4173,4486,4142,4435,4984,5264,5080,5640,5555,5463,4287,5200,6481,6795
TLH3,Essex,G-T,Services sector,24948,25214,26824,27836,27824,29961,30241,30642,30932,31399,31506,30571,31536,31017,31741,31729,32759,33746,35131,37517,37932,37966,32783,37340,38410,38183
TLH4,Cambridgeshire and Peterborough,A-E,Production sector,2940,3067,3261,3569,3928,3961,3884,4007,4489,4568,4794,4417,4455,4863,4831,4924,5251,4881,4706,4820,4910,5173,5255,5441,5319,5405
TLH4,Cambridgeshire and Peterborough,F (41-43),Construction,1527,1635,1615,1630,1684,1638,1621,1549,1684,1559,1420,1288,1367,1475,1354,1413,1587,1686,1757,1720,1688,1704,1637,1665,1894,1874
TLH4,Cambridgeshire and Peterborough,G-T,Services sector,14656,15321,16034,16311,16241,16656,17110,18210,18553,19374,19180,18427,18909,18776,19545,19453,19849,20353,21129,22487,22860,23036,21252,22967,23482,24169
TLH5,Norfolk,A-E,Production sector,2619,2704,2897,2950,3113,3150,2999,3072,3227,3151,3366,3254,3047,3173,3249,3318,3560,3425,3295,3258,3225,3366,3445,3566,3811,3876
TLH5,Norfolk,F (41-43),Construction,1498,1608,1593,1592,1627,1637,1609,1522,1660,1537,1420,1322,1393,1507,1425,1421,1505,1503,1539,1556,1461,1518,1454,1492,1636,1727
TLH5,Norfolk,G-T,Services sector,11083,11440,12100,12442,12544,12953,13311,13724,14271,14410,14503,14600,14806,14689,15262,15673,15768,15860,16058,16765,16196,17393,15298,16792,16748,16891
TLH6,Suffolk,A-E,Production sector,2734,2836,2976,3111,3196,3247,3109,3103,3320,3267,3361,3199,3048,3088,3181,3191,3372,3491,3438,3528,3486,3649,3622,3477,3405,3618
TLH6,Suffolk,F (41-43),Construction,1402,1502,1483,1500,1549,1505,1498,1433,1549,1429,1298,1179,1249,1344,1308,1346,1406,1511,1560,1624,1778,1861,1867,1847,1924,2051
