DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2015,Aberdeen City and Aberdeenshire,"Agriculture, forestry and fishing",A (1-3),1200
2015,Aberdeen City and Aberdeenshire,Mining and quarrying,B (5-9),30950
2015,Aberdeen City and Aberdeenshire,Manufacturing,C (10-33),23915
2015,Aberdeen City and Aberdeenshire,"Electricity, gas, steam and air conditioning supply",D (35),600
2015,Aberdeen City and Aberdeenshire,Water supply; sewerage and waste management,E (36-39),965
2015,Aberdeen City and Aberdeenshire,Construction,F (41-43),12425
2015,Aberdeen City and Aberdeenshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),20315
2015,Aberdeen City and Aberdeenshire,Transportation and storage,H (49-53),10510
2015,Aberdeen City and Aberdeenshire,Accommodation and food service activities,I (55-56),9180
2015,Aberdeen City and Aberdeenshire,Information and communication,J (58-63),3700
2015,Aberdeen City and Aberdeenshire,Financial and insurance activities,K (64-66),1830
2015,Aberdeen City and Aberdeenshire,Real estate activities,L (68),1930
2015,Aberdeen City and Aberdeenshire,"Professional, scientific and technical activities",M (69-75),32905
2015,Aberdeen City and Aberdeenshire,Administrative and support service activities,N (77-82),12915
2015,Aberdeen City and Aberdeenshire,Public administration and defence,O (84),7750
2015,Aberdeen City and Aberdeenshire,Education,P (85),9690
2015,Aberdeen City and Aberdeenshire,Human health and social work activities,Q (86-88),16155
2015,Aberdeen City and Aberdeenshire,"Arts, entertainment and recreation",R (90-93),2675
2015,Aberdeen City and Aberdeenshire,Other service activities,S (94-96),2105
2015,Aberdeen City and Aberdeenshire,Activities of households,T (97-98),0
2015,Aberdeen City and Aberdeenshire,Activities of extraterritorial organisations and bodies,U (99),0
2015,Angus and Dundee City,"Agriculture, forestry and fishing",A (1-3),245
2015,Angus and Dundee City,Mining and quarrying,B (5-9),120
2015,Angus and Dundee City,Manufacturing,C (10-33),8810
2015,Angus and Dundee City,"Electricity, gas, steam and air conditioning supply",D (35),235
2015,Angus and Dundee City,Water supply; sewerage and waste management,E (36-39),655
2015,Angus and Dundee City,Construction,F (41-43),4535
