DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2022,Conwy and Denbighshire,Services sector,G-T,75445
2022,Cornwall and Isles of Scilly,Production sector,A-E,33550
2022,Cornwall and Isles of Scilly,Construction,F (41-43),16280
2022,Cornwall and Isles of Scilly,Services sector,G-T,197080
2022,Coventry,Production sector,A-E,21265
2022,Coventry,Construction,F (41-43),4415
2022,Coventry,Services sector,G-T,138535
2022,Croydon,Production sector,A-E,3025
2022,Croydon,Construction,F (41-43),6825
2022,Croydon,Services sector,G-T,117460
2022,Darlington,Production sector,A-E,4725
2022,Darlington,Construction,F (41-43),1720
2022,Darlington,Services sector,G-T,47220
2022,Derby,Production sector,A-E,22740
2022,Derby,Construction,F (41-43),5175
2022,Derby,Services sector,G-T,110345
2022,Devon CC,Production sector,A-E,54540
2022,Devon CC,Construction,F (41-43),23710
2022,Devon CC,Services sector,G-T,289560
2022,Dorset,Production sector,A-E,19615
2022,Dorset,Construction,F (41-43),3915
2022,Dorset,Services sector,G-T,51845
2022,Dudley,Production sector,A-E,17670
2022,Dudley,Construction,F (41-43),6545
2022,Dudley,Services sector,G-T,87560
2022,Dumfries and Galloway,Production sector,A-E,14675
2022,Dumfries and Galloway,Construction,F (41-43),3485
2022,Dumfries and Galloway,Services sector,G-T,47720
2022,Durham,Production sector,A-E,29560
2022,Durham,Construction,F (41-43),10415
2022,Durham,Services sector,G-T,143765
2022,Ealing,Production sector,A-E,12155
2022,Ealing,Construction,F (41-43),7035
2022,Ealing,Services sector,G-T,111465
2022,East Ayrshire and North Ayrshire mainland,Production sector,A-E,11695
2022,East Ayrshire and North Ayrshire mainland,Construction,F (41-43),5390
2022,East Ayrshire and North Ayrshire mainland,Services sector,G-T,66510
2022,East Cumbria,Production sector,A-E,23345
2022,East Cumbria,Construction,F (41-43),8850
2022,East Cumbria,Services sector,G-T,111125
2022,East Derbyshire,Production sector,A-E,15615
2022,East Derbyshire,Construction,F (41-43),7095
2022,East Derbyshire,Services sector,G-T,94330
2022,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",Production sector,A-E,5515
2022,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",Construction,F (41-43),3245
2022,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",Services sector,G-T,61260
2022,East Kent,Production sector,A-E,14395
2022,East Kent,Construction,F (41-43),10210
2022,East Kent,Services sector,G-T,166390
2022,East Lancashire,Production sector,A-E,26990
2022,East Lancashire,Construction,F (41-43),6445
2022,East Lancashire,Services sector,G-T,88920
2022,East Lothian and Midlothian,Production sector,A-E,7840
2022,East Lothian and Midlothian,Construction,F (41-43),5830
2022,East Lothian and Midlothian,Services sector,G-T,54870
2022,East Merseyside,Production sector,A-E,26275
2022,East Merseyside,Construction,F (41-43),12570
2022,East Merseyside,Services sector,G-T,169560
2022,East Riding of Yorkshire,Production sector,A-E,30635
2022,East Riding of Yorkshire,Construction,F (41-43),7500
2022,East Riding of Yorkshire,Services sector,G-T,100085
2022,East Surrey,Production sector,A-E,9875
2022,East Surrey,Construction,F (41-43),12535
2022,East Surrey,Services sector,G-T,160120
2022,East Sussex CC,Production sector,A-E,19000
2022,East Sussex CC,Construction,F (41-43),11570
2022,East Sussex CC,Services sector,G-T,162425
2022,Enfield,Production sector,A-E,6840
2022,Enfield,Construction,F (41-43),7730
2022,Enfield,Services sector,G-T,96595
2022,Essex Haven Gateway,Production sector,A-E,19515
2022,Essex Haven Gateway,Construction,F (41-43),13710
2022,Essex Haven Gateway,Services sector,G-T,149280
2022,Essex Thames Gateway,Production sector,A-E,14050
2022,Essex Thames Gateway,Construction,F (41-43),12340
2022,Essex Thames Gateway,Services sector,G-T,109100
2022,Falkirk,Production sector,A-E,8170
2022,Falkirk,Construction,F (41-43),4330
2022,Falkirk,Services sector,G-T,54275
2022,Flintshire and Wrexham,Production sector,A-E,35485
2022,Flintshire and Wrexham,Construction,F (41-43),6255
2022,Flintshire and Wrexham,Services sector,G-T,92275
2022,Glasgow City,Production sector,A-E,25225
2022,Glasgow City,Construction,F (41-43),18700
2022,Glasgow City,Services sector,G-T,398945
2022,Gloucestershire CC,Production sector,A-E,48500
2022,Gloucestershire CC,Construction,F (41-43),17825
2022,Gloucestershire CC,Services sector,G-T,244870
2022,Greater Manchester North East,Production sector,A-E,30990
