DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2022,Cornwall and Isles of Scilly,Production sector,A-E,2885
2022,Cornwall and Isles of Scilly,Construction,F (41-43),2510
2022,Cornwall and Isles of Scilly,Services sector,G-T,83405
2022,Coventry,Production sector,A-E,1800
2022,Coventry,Construction,F (41-43),660
2022,Coventry,Services sector,G-T,49790
2022,Croydon,Production sector,A-E,295
2022,Croydon,Construction,F (41-43),1690
2022,Croydon,Services sector,G-T,35260
2022,Darlington,Production sector,A-E,590
2022,Darlington,Construction,F (41-43),115
2022,Darlington,Services sector,G-T,14990
2022,Derby,Production sector,A-E,1070
2022,Derby,Construction,F (41-43),740
2022,Derby,Services sector,G-T,39405
2022,Devon CC,Production sector,A-E,5595
2022,Devon CC,Construction,F (41-43),3620
2022,Devon CC,Services sector,G-T,113415
2022,Dorset,Production sector,A-E,1540
2022,Dorset,Construction,F (41-43),625
2022,Dorset,Services sector,G-T,21145
2022,Dudley,Production sector,A-E,1800
2022,Dudley,Construction,F (41-43),920
2022,Dudley,Services sector,G-T,33935
2022,Dumfries and Galloway,Production sector,A-E,1975
2022,Dumfries and Galloway,Construction,F (41-43),425
2022,Dumfries and Galloway,Services sector,G-T,19420
2022,Durham,Production sector,A-E,2865
2022,Durham,Construction,F (41-43),650
2022,Durham,Services sector,G-T,53980
2022,Ealing,Production sector,A-E,1255
2022,Ealing,Construction,F (41-43),1985
2022,Ealing,Services sector,G-T,35355
2022,East Ayrshire and North Ayrshire mainland,Production sector,A-E,1330
2022,East Ayrshire and North Ayrshire mainland,Construction,F (41-43),535
2022,East Ayrshire and North Ayrshire mainland,Services sector,G-T,26680
2022,East Cumbria,Production sector,A-E,2090
2022,East Cumbria,Construction,F (41-43),1075
2022,East Cumbria,Services sector,G-T,44380
2022,East Derbyshire,Production sector,A-E,1375
2022,East Derbyshire,Construction,F (41-43),1095
2022,East Derbyshire,Services sector,G-T,33880
2022,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",Production sector,A-E,545
2022,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",Construction,F (41-43),470
2022,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",Services sector,G-T,21585
2022,East Kent,Production sector,A-E,1245
2022,East Kent,Construction,F (41-43),1800
2022,East Kent,Services sector,G-T,61515
2022,East Lancashire,Production sector,A-E,1710
2022,East Lancashire,Construction,F (41-43),815
2022,East Lancashire,Services sector,G-T,31815
2022,East Lothian and Midlothian,Production sector,A-E,905
2022,East Lothian and Midlothian,Construction,F (41-43),620
2022,East Lothian and Midlothian,Services sector,G-T,21635
2022,East Merseyside,Production sector,A-E,1890
2022,East Merseyside,Construction,F (41-43),1505
2022,East Merseyside,Services sector,G-T,62055
2022,East Riding of Yorkshire,Production sector,A-E,2460
2022,East Riding of Yorkshire,Construction,F (41-43),715
2022,East Riding of Yorkshire,Services sector,G-T,40410
2022,East Surrey,Production sector,A-E,975
2022,East Surrey,Construction,F (41-43),2295
2022,East Surrey,Services sector,G-T,55290
2022,East Sussex CC,Production sector,A-E,2235
2022,East Sussex CC,Construction,F (41-43),2170
2022,East Sussex CC,Services sector,G-T,59920
2022,Enfield,Production sector,A-E,1235
2022,Enfield,Construction,F (41-43),1940
2022,Enfield,Services sector,G-T,33705
2022,Essex Haven Gateway,Production sector,A-E,2585
2022,Essex Haven Gateway,Construction,F (41-43),2230
2022,Essex Haven Gateway,Services sector,G-T,56445
2022,Essex Thames Gateway,Production sector,A-E,1180
2022,Essex Thames Gateway,Construction,F (41-43),2080
2022,Essex Thames Gateway,Services sector,G-T,39835
2022,Falkirk,Production sector,A-E,750
