DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2015,Aberdeen City and Aberdeenshire,"Agriculture, forestry and fishing",A (1-3),1970
2015,Aberdeen City and Aberdeenshire,Mining and quarrying,B (5-9),31000
2015,Aberdeen City and Aberdeenshire,Manufacturing,C (10-33),26650
2015,Aberdeen City and Aberdeenshire,"Electricity, gas, steam and air conditioning supply",D (35),775
2015,Aberdeen City and Aberdeenshire,Water supply; sewerage and waste management,E (36-39),1020
2015,Aberdeen City and Aberdeenshire,Construction,F (41-43),14090
2015,Aberdeen City and Aberdeenshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),37045
2015,Aberdeen City and Aberdeenshire,Transportation and storage,H (49-53),13235
2015,Aberdeen City and Aberdeenshire,Accommodation and food service activities,I (55-56),21935
2015,Aberdeen City and Aberdeenshire,Information and communication,J (58-63),4615
2015,Aberdeen City and Aberdeenshire,Financial and insurance activities,K (64-66),2235
2015,Aberdeen City and Aberdeenshire,Real estate activities,L (68),3340
2015,Aberdeen City and Aberdeenshire,"Professional, scientific and technical activities",M (69-75),40655
2015,Aberdeen City and Aberdeenshire,Administrative and support service activities,N (77-82),18865
2015,Aberdeen City and Aberdeenshire,Public administration and defence,O (84),11850
2015,Aberdeen City and Aberdeenshire,Education,P (85),17195
2015,Aberdeen City and Aberdeenshire,Human health and social work activities,Q (86-88),34575
2015,Aberdeen City and Aberdeenshire,"Arts, entertainment and recreation",R (90-93),5845
2015,Aberdeen City and Aberdeenshire,Other service activities,S (94-96),4135
2015,Aberdeen City and Aberdeenshire,Activities of households,T (97-98),0
2015,Aberdeen City and Aberdeenshire,Activities of extraterritorial organisations and bodies,U (99),0
2015,Angus and Dundee City,"Agriculture, forestry and fishing",A (1-3),380
2015,Angus and Dundee City,Mining and quarrying,B (5-9),120
2015,Angus and Dundee City,Manufacturing,C (10-33),10005
2015,Angus and Dundee City,"Electricity, gas, steam and air conditioning supply",D (35),240
2015,Angus and Dundee City,Water supply; sewerage and waste management,E (36-39),660
2015,Angus and Dundee City,Construction,F (41-43),5375
2015,Angus and Dundee City,Wholesale and retail trade; repair of motor vehicles,G (45-47),18760
2015,Angus and Dundee City,Transportation and storage,H (49-53),3370
2015,Angus and Dundee City,Accommodation and food service activities,I (55-56),9655
2015,Angus and Dundee City,Information and communication,J (58-63),3040
2015,Angus and Dundee City,Financial and insurance activities,K (64-66),1505
2015,Angus and Dundee City,Real estate activities,L (68),1440
2015,Angus and Dundee City,"Professional, scientific and technical activities",M (69-75),5480
2015,Angus and Dundee City,Administrative and support service activities,N (77-82),5190
2015,Angus and Dundee City,Public administration and defence,O (84),6425
2015,Angus and Dundee City,Education,P (85),11430
2015,Angus and Dundee City,Human health and social work activities,Q (86-88),22275
2015,Angus and Dundee City,"Arts, entertainment and recreation",R (90-93),3350
2015,Angus and Dundee City,Other service activities,S (94-96),2315
2015,Angus and Dundee City,Activities of households,T (97-98),0
2015,Angus and Dundee City,Activities of extraterritorial organisations and bodies,U (99),0
2015,Barking & Dagenham and Havering,"Agriculture, forestry and fishing",A (1-3),130
2015,Barking & Dagenham and Havering,Mining and quarrying,B (5-9),0
2015,Barking & Dagenham and Havering,Manufacturing,C (10-33),8945
2015,Barking & Dagenham and Havering,"Electricity, gas, steam and air conditioning supply",D (35),85
2015,Barking & Dagenham and Havering,Water supply; sewerage and waste management,E (36-39),1380
2015,Barking & Dagenham and Havering,Construction,F (41-43),8215
2015,Barking & Dagenham and Havering,Wholesale and retail trade; repair of motor vehicles,G (45-47),26230
2015,Barking & Dagenham and Havering,Transportation and storage,H (49-53),9145
2015,Barking & Dagenham and Havering,Accommodation and food service activities,I (55-56),6675
2015,Barking & Dagenham and Havering,Information and communication,J (58-63),3170
2015,Barking & Dagenham and Havering,Financial and insurance activities,K (64-66),2625
2015,Barking & Dagenham and Havering,Real estate activities,L (68),1655
2015,Barking & Dagenham and Havering,"Professional, scientific and technical activities",M (69-75),5145
2015,Barking & Dagenham and Havering,Administrative and support service activities,N (77-82),13430
2015,Barking & Dagenham and Havering,Public administration and defence,O (84),5650
2015,Barking & Dagenham and Havering,Education,P (85),15970
2015,Barking & Dagenham and Havering,Human health and social work activities,Q (86-88),20150
2015,Barking & Dagenham and Havering,"Arts, entertainment and recreation",R (90-93),3025
2015,Barking & Dagenham and Havering,Other service activities,S (94-96),2435
2015,Barking & Dagenham and Havering,Activities of households,T (97-98),0
2015,Barking & Dagenham and Havering,Activities of extraterritorial organisations and bodies,U (99),0
2015,Barnet,"Agriculture, forestry and fishing",A (1-3),105
2015,Barnet,Mining and quarrying,B (5-9),20
2015,Barnet,Manufacturing,C (10-33),2875
2015,Barnet,"Electricity, gas, steam and air conditioning supply",D (35),25
2015,Barnet,Water supply; sewerage and waste management,E (36-39),185
2015,Barnet,Construction,F (41-43),5615
2015,Barnet,Wholesale and retail trade; repair of motor vehicles,G (45-47),24205
2015,Barnet,Transportation and storage,H (49-53),3755
2015,Barnet,Accommodation and food service activities,I (55-56),8065
2015,Barnet,Information and communication,J (58-63),5765
2015,Barnet,Financial and insurance activities,K (64-66),2225
2015,Barnet,Real estate activities,L (68),6735
2015,Barnet,"Professional, scientific and technical activities",M (69-75),13025
2015,Barnet,Administrative and support service activities,N (77-82),12090
2015,Barnet,Public administration and defence,O (84),5200
2015,Barnet,Education,P (85),16935
2015,Barnet,Human health and social work activities,Q (86-88),20475
2015,Barnet,"Arts, entertainment and recreation",R (90-93),3160
2015,Barnet,Other service activities,S (94-96),3275
2015,Barnet,Activities of households,T (97-98),0
2015,Barnet,Activities of extraterritorial organisations and bodies,U (99),0
2015,"Barnsley, Doncaster and Rotherham","Agriculture, forestry and fishing",A (1-3),2115
2015,"Barnsley, Doncaster and Rotherham",Mining and quarrying,B (5-9),665
2015,"Barnsley, Doncaster and Rotherham",Manufacturing,C (10-33),35745
2015,"Barnsley, Doncaster and Rotherham","Electricity, gas, steam and air conditioning supply",D (35),620
2015,"Barnsley, Doncaster and Rotherham",Water supply; sewerage and waste management,E (36-39),2195
2015,"Barnsley, Doncaster and Rotherham",Construction,F (41-43),18345
2015,"Barnsley, Doncaster and Rotherham",Wholesale and retail trade; repair of motor vehicles,G (45-47),47440
2015,"Barnsley, Doncaster and Rotherham",Transportation and storage,H (49-53),19155
2015,"Barnsley, Doncaster and Rotherham",Accommodation and food service activities,I (55-56),17765
2015,"Barnsley, Doncaster and Rotherham",Information and communication,J (58-63),3630
2015,"Barnsley, Doncaster and Rotherham",Financial and insurance activities,K (64-66),6205
2015,"Barnsley, Doncaster and Rotherham",Real estate activities,L (68),3070
2015,"Barnsley, Doncaster and Rotherham","Professional, scientific and technical activities",M (69-75),12310
2015,"Barnsley, Doncaster and Rotherham",Administrative and support service activities,N (77-82),28990
2015,"Barnsley, Doncaster and Rotherham",Public administration and defence,O (84),18160
2015,"Barnsley, Doncaster and Rotherham",Education,P (85),28410
2015,"Barnsley, Doncaster and Rotherham",Human health and social work activities,Q (86-88),47850
2015,"Barnsley, Doncaster and Rotherham","Arts, entertainment and recreation",R (90-93),7420
2015,"Barnsley, Doncaster and Rotherham",Other service activities,S (94-96),4465
2015,"Barnsley, Doncaster and Rotherham",Activities of households,T (97-98),0
2015,"Barnsley, Doncaster and Rotherham",Activities of extraterritorial organisations and bodies,U (99),0
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire","Agriculture, forestry and fishing",A (1-3),4130
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Mining and quarrying,B (5-9),185
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Manufacturing,C (10-33),25725
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire","Electricity, gas, steam and air conditioning supply",D (35),360
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Water supply; sewerage and waste management,E (36-39),3685
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Construction,F (41-43),17970
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Wholesale and retail trade; repair of motor vehicles,G (45-47),50425
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Transportation and storage,H (49-53),16150
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Accommodation and food service activities,I (55-56),21770
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Information and communication,J (58-63),13535
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Financial and insurance activities,K (64-66),9550
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Real estate activities,L (68),5525
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire","Professional, scientific and technical activities",M (69-75),27865
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Administrative and support service activities,N (77-82),24795
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Public administration and defence,O (84),18500
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Education,P (85),28105
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Human health and social work activities,Q (86-88),38925
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire","Arts, entertainment and recreation",R (90-93),6335
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Other service activities,S (94-96),6225
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Activities of households,T (97-98),0
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Activities of extraterritorial organisations and bodies,U (99),0
2015,Bedford,"Agriculture, forestry and fishing",A (1-3),855
2015,Bedford,Mining and quarrying,B (5-9),0
2015,Bedford,Manufacturing,C (10-33),4695
2015,Bedford,"Electricity, gas, steam and air conditioning supply",D (35),375
2015,Bedford,Water supply; sewerage and waste management,E (36-39),810
2015,Bedford,Construction,F (41-43),3500
2015,Bedford,Wholesale and retail trade; repair of motor vehicles,G (45-47),15750
2015,Bedford,Transportation and storage,H (49-53),3770
2015,Bedford,Accommodation and food service activities,I (55-56),4290
2015,Bedford,Information and communication,J (58-63),1970
2015,Bedford,Financial and insurance activities,K (64-66),935
2015,Bedford,Real estate activities,L (68),1390
2015,Bedford,"Professional, scientific and technical activities",M (69-75),5450
2015,Bedford,Administrative and support service activities,N (77-82),5070
2015,Bedford,Public administration and defence,O (84),4475
2015,Bedford,Education,P (85),8325
2015,Bedford,Human health and social work activities,Q (86-88),10235
2015,Bedford,"Arts, entertainment and recreation",R (90-93),1220
2015,Bedford,Other service activities,S (94-96),2935
2015,Bedford,Activities of households,T (97-98),0
2015,Bedford,Activities of extraterritorial organisations and bodies,U (99),0
2015,Berkshire,"Agriculture, forestry and fishing",A (1-3),2565
2015,Berkshire,Mining and quarrying,B (5-9),985
2015,Berkshire,Manufacturing,C (10-33),26605
2015,Berkshire,"Electricity, gas, steam and air conditioning supply",D (35),2980
2015,Berkshire,Water supply; sewerage and waste management,E (36-39),4615
2015,Berkshire,Construction,F (41-43),18005
2015,Berkshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),83815
2015,Berkshire,Transportation and storage,H (49-53),22125
2015,Berkshire,Accommodation and food service activities,I (55-56),28515
2015,Berkshire,Information and communication,J (58-63),71140
2015,Berkshire,Financial and insurance activities,K (64-66),9855
2015,Berkshire,Real estate activities,L (68),8800
2015,Berkshire,"Professional, scientific and technical activities",M (69-75),60190
2015,Berkshire,Administrative and support service activities,N (77-82),39370
2015,Berkshire,Public administration and defence,O (84),12300
2015,Berkshire,Education,P (85),43845
2015,Berkshire,Human health and social work activities,Q (86-88),45050
2015,Berkshire,"Arts, entertainment and recreation",R (90-93),12550
2015,Berkshire,Other service activities,S (94-96),13160
2015,Berkshire,Activities of households,T (97-98),0
2015,Berkshire,Activities of extraterritorial organisations and bodies,U (99),0
2015,Bexley and Greenwich,"Agriculture, forestry and fishing",A (1-3),40
2015,Bexley and Greenwich,Mining and quarrying,B (5-9),100
2015,Bexley and Greenwich,Manufacturing,C (10-33),7525
2015,Bexley and Greenwich,"Electricity, gas, steam and air conditioning supply",D (35),810
2015,Bexley and Greenwich,Water supply; sewerage and waste management,E (36-39),1810
2015,Bexley and Greenwich,Construction,F (41-43),8310
2015,Bexley and Greenwich,Wholesale and retail trade; repair of motor vehicles,G (45-47),25935
2015,Bexley and Greenwich,Transportation and storage,H (49-53),8930
2015,Bexley and Greenwich,Accommodation and food service activities,I (55-56),10640
2015,Bexley and Greenwich,Information and communication,J (58-63),4905
2015,Bexley and Greenwich,Financial and insurance activities,K (64-66),1685
2015,Bexley and Greenwich,Real estate activities,L (68),2910
2015,Bexley and Greenwich,"Professional, scientific and technical activities",M (69-75),8750
2015,Bexley and Greenwich,Administrative and support service activities,N (77-82),14425
2015,Bexley and Greenwich,Public administration and defence,O (84),8450
2015,Bexley and Greenwich,Education,P (85),20410
2015,Bexley and Greenwich,Human health and social work activities,Q (86-88),22300
2015,Bexley and Greenwich,"Arts, entertainment and recreation",R (90-93),4845
2015,Bexley and Greenwich,Other service activities,S (94-96),2855
2015,Bexley and Greenwich,Activities of households,T (97-98),0
2015,Bexley and Greenwich,Activities of extraterritorial organisations and bodies,U (99),0
2015,Birmingham,"Agriculture, forestry and fishing",A (1-3),210
2015,Birmingham,Mining and quarrying,B (5-9),30
2015,Birmingham,Manufacturing,C (10-33),40995
2015,Birmingham,"Electricity, gas, steam and air conditioning supply",D (35),725
2015,Birmingham,Water supply; sewerage and waste management,E (36-39),2405
2015,Birmingham,Construction,F (41-43),25820
2015,Birmingham,Wholesale and retail trade; repair of motor vehicles,G (45-47),72190
2015,Birmingham,Transportation and storage,H (49-53),24470
2015,Birmingham,Accommodation and food service activities,I (55-56),31705
2015,Birmingham,Information and communication,J (58-63),12245
2015,Birmingham,Financial and insurance activities,K (64-66),22895
2015,Birmingham,Real estate activities,L (68),9000
2015,Birmingham,"Professional, scientific and technical activities",M (69-75),45745
2015,Birmingham,Administrative and support service activities,N (77-82),44170
2015,Birmingham,Public administration and defence,O (84),24650
2015,Birmingham,Education,P (85),57840
2015,Birmingham,Human health and social work activities,Q (86-88),68250
2015,Birmingham,"Arts, entertainment and recreation",R (90-93),10480
2015,Birmingham,Other service activities,S (94-96),11270
2015,Birmingham,Activities of households,T (97-98),0
2015,Birmingham,Activities of extraterritorial organisations and bodies,U (99),0
2015,Blackburn with Darwen,"Agriculture, forestry and fishing",A (1-3),280
2015,Blackburn with Darwen,Mining and quarrying,B (5-9),0
2015,Blackburn with Darwen,Manufacturing,C (10-33),10605
2015,Blackburn with Darwen,"Electricity, gas, steam and air conditioning supply",D (35),30
2015,Blackburn with Darwen,Water supply; sewerage and waste management,E (36-39),180
2015,Blackburn with Darwen,Construction,F (41-43),1740
2015,Blackburn with Darwen,Wholesale and retail trade; repair of motor vehicles,G (45-47),10890
2015,Blackburn with Darwen,Transportation and storage,H (49-53),2495
2015,Blackburn with Darwen,Accommodation and food service activities,I (55-56),2560
2015,Blackburn with Darwen,Information and communication,J (58-63),2290
2015,Blackburn with Darwen,Financial and insurance activities,K (64-66),620
2015,Blackburn with Darwen,Real estate activities,L (68),885
2015,Blackburn with Darwen,"Professional, scientific and technical activities",M (69-75),3675
2015,Blackburn with Darwen,Administrative and support service activities,N (77-82),3775
2015,Blackburn with Darwen,Public administration and defence,O (84),2650
2015,Blackburn with Darwen,Education,P (85),6840
2015,Blackburn with Darwen,Human health and social work activities,Q (86-88),14210
2015,Blackburn with Darwen,"Arts, entertainment and recreation",R (90-93),1535
2015,Blackburn with Darwen,Other service activities,S (94-96),1135
2015,Blackburn with Darwen,Activities of households,T (97-98),0
2015,Blackburn with Darwen,Activities of extraterritorial organisations and bodies,U (99),0
2015,Blackpool,"Agriculture, forestry and fishing",A (1-3),100
2015,Blackpool,Mining and quarrying,B (5-9),0
2015,Blackpool,Manufacturing,C (10-33),3235
2015,Blackpool,"Electricity, gas, steam and air conditioning supply",D (35),140
2015,Blackpool,Water supply; sewerage and waste management,E (36-39),130
2015,Blackpool,Construction,F (41-43),1470
2015,Blackpool,Wholesale and retail trade; repair of motor vehicles,G (45-47),10050
2015,Blackpool,Transportation and storage,H (49-53),1830
2015,Blackpool,Accommodation and food service activities,I (55-56),8135
2015,Blackpool,Information and communication,J (58-63),1100
2015,Blackpool,Financial and insurance activities,K (64-66),500
2015,Blackpool,Real estate activities,L (68),580
2015,Blackpool,"Professional, scientific and technical activities",M (69-75),1800
2015,Blackpool,Administrative and support service activities,N (77-82),2390
2015,Blackpool,Public administration and defence,O (84),6375
2015,Blackpool,Education,P (85),4590
2015,Blackpool,Human health and social work activities,Q (86-88),12520
2015,Blackpool,"Arts, entertainment and recreation",R (90-93),3830
2015,Blackpool,Other service activities,S (94-96),1020
2015,Blackpool,Activities of households,T (97-98),0
2015,Blackpool,Activities of extraterritorial organisations and bodies,U (99),0
2015,Bournemouth and Poole,"Agriculture, forestry and fishing",A (1-3),245
2015,Bournemouth and Poole,Mining and quarrying,B (5-9),110
2015,Bournemouth and Poole,Manufacturing,C (10-33),11300
2015,Bournemouth and Poole,"Electricity, gas, steam and air conditioning supply",D (35),470
2015,Bournemouth and Poole,Water supply; sewerage and waste management,E (36-39),625
2015,Bournemouth and Poole,Construction,F (41-43),6840
2015,Bournemouth and Poole,Wholesale and retail trade; repair of motor vehicles,G (45-47),27410
2015,Bournemouth and Poole,Transportation and storage,H (49-53),5875
2015,Bournemouth and Poole,Accommodation and food service activities,I (55-56),14180
2015,Bournemouth and Poole,Information and communication,J (58-63),4815
2015,Bournemouth and Poole,Financial and insurance activities,K (64-66),12395
2015,Bournemouth and Poole,Real estate activities,L (68),4525
2015,Bournemouth and Poole,"Professional, scientific and technical activities",M (69-75),10885
2015,Bournemouth and Poole,Administrative and support service activities,N (77-82),13160
2015,Bournemouth and Poole,Public administration and defence,O (84),4760
2015,Bournemouth and Poole,Education,P (85),12630
2015,Bournemouth and Poole,Human health and social work activities,Q (86-88),26350
2015,Bournemouth and Poole,"Arts, entertainment and recreation",R (90-93),4310
2015,Bournemouth and Poole,Other service activities,S (94-96),3165
2015,Bournemouth and Poole,Activities of households,T (97-98),0
2015,Bournemouth and Poole,Activities of extraterritorial organisations and bodies,U (99),0
2015,Bradford,"Agriculture, forestry and fishing",A (1-3),975
2015,Bradford,Mining and quarrying,B (5-9),80
2015,Bradford,Manufacturing,C (10-33),25280
2015,Bradford,"Electricity, gas, steam and air conditioning supply",D (35),135
2015,Bradford,Water supply; sewerage and waste management,E (36-39),2625
2015,Bradford,Construction,F (41-43),7125
2015,Bradford,Wholesale and retail trade; repair of motor vehicles,G (45-47),33305
2015,Bradford,Transportation and storage,H (49-53),7915
