DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2016,Bedfordshire and Hertfordshire,Construction,F (41-43),52805
2016,Bedfordshire and Hertfordshire,Services sector,G-T,778915
2016,"Berkshire, Buckinghamshire and Oxfordshire",Production sector,A-E,108060
2016,"Berkshire, Buckinghamshire and Oxfordshire",Construction,F (41-43),59775
2016,"Berkshire, Buckinghamshire and Oxfordshire",Services sector,G-T,1164890
2016,Cheshire,Production sector,A-E,59230
2016,Cheshire,Construction,F (41-43),18905
2016,Cheshire,Services sector,G-T,429530
2016,Cornwall and Isles of Scilly,Production sector,A-E,33990
2016,Cornwall and Isles of Scilly,Construction,F (41-43),14995
2016,Cornwall and Isles of Scilly,Services sector,G-T,183505
2016,Cumbria,Production sector,A-E,53275
2016,Cumbria,Construction,F (41-43),11695
2016,Cumbria,Services sector,G-T,186775
2016,Derbyshire and Nottinghamshire,Production sector,A-E,151300
2016,Derbyshire and Nottinghamshire,Construction,F (41-43),51205
2016,Derbyshire and Nottinghamshire,Services sector,G-T,768355
2016,Devon,Production sector,A-E,70915
2016,Devon,Construction,F (41-43),28600
2016,Devon,Services sector,G-T,411820
2016,Dorset and Somerset,Production sector,A-E,86230
2016,Dorset and Somerset,Construction,F (41-43),30905
2016,Dorset and Somerset,Services sector,G-T,464040
2016,East Anglia,Production sector,A-E,149685
2016,East Anglia,Construction,F (41-43),56245
2016,East Anglia,Services sector,G-T,956675
2016,East Wales,Production sector,A-E,94180
2016,East Wales,Construction,F (41-43),26075
2016,East Wales,Services sector,G-T,445120
2016,East Yorkshire and Northern Lincolnshire,Production sector,A-E,74340
2016,East Yorkshire and Northern Lincolnshire,Construction,F (41-43),21705
2016,East Yorkshire and Northern Lincolnshire,Services sector,G-T,303285
2016,Eastern Scotland,Production sector,A-E,75995
2016,Eastern Scotland,Construction,F (41-43),46340
2016,Eastern Scotland,Services sector,G-T,787210
2016,Essex,Production sector,A-E,65705
2016,Essex,Construction,F (41-43),49900
2016,Essex,Services sector,G-T,619160
2016,"Gloucestershire, Wiltshire and Bath/Bristol area",Production sector,A-E,139365
2016,"Gloucestershire, Wiltshire and Bath/Bristol area",Construction,F (41-43),60515
2016,"Gloucestershire, Wiltshire and Bath/Bristol area",Services sector,G-T,1025435
2016,Greater Manchester,Production sector,A-E,126950
2016,Greater Manchester,Construction,F (41-43),51310
2016,Greater Manchester,Services sector,G-T,1113205
2016,Hampshire and Isle of Wight,Production sector,A-E,84880
2016,Hampshire and Isle of Wight,Construction,F (41-43),47800
2016,Hampshire and Isle of Wight,Services sector,G-T,768015
2016,"Herefordshire, Worcestershire and Warwickshire",Production sector,A-E,108820
2016,"Herefordshire, Worcestershire and Warwickshire",Construction,F (41-43),27400
2016,"Herefordshire, Worcestershire and Warwickshire",Services sector,G-T,505915
2016,Highlands and Islands,Production sector,A-E,26335
2016,Highlands and Islands,Construction,F (41-43),15345
2016,Highlands and Islands,Services sector,G-T,176495
2016,Inner London - East,Production sector,A-E,28230
2016,Inner London - East,Construction,F (41-43),38600
2016,Inner London - East,Services sector,G-T,1194120
2016,Inner London - West,Production sector,A-E,23265
2016,Inner London - West,Construction,F (41-43),43590
2016,Inner London - West,Services sector,G-T,1903755
2016,Kent,Production sector,A-E,71775
2016,Kent,Construction,F (41-43),47410
2016,Kent,Services sector,G-T,612540
2016,Lancashire,Production sector,A-E,105180
2016,Lancashire,Construction,F (41-43),32115
2016,Lancashire,Services sector,G-T,512600
2016,"Leicestershire, Rutland and Northamptonshire",Production sector,A-E,132960
2016,"Leicestershire, Rutland and Northamptonshire",Construction,F (41-43),38595
2016,"Leicestershire, Rutland and Northamptonshire",Services sector,G-T,682595
2016,Lincolnshire,Production sector,A-E,53995
2016,Lincolnshire,Construction,F (41-43),17420
2016,Lincolnshire,Services sector,G-T,233730
2016,Merseyside,Production sector,A-E,56345
2016,Merseyside,Construction,F (41-43),22185
2016,Merseyside,Services sector,G-T,554415
2016,North Eastern Scotland,Production sector,A-E,54785
2016,North Eastern Scotland,Construction,F (41-43),15765
2016,North Eastern Scotland,Services sector,G-T,211760
2016,North Yorkshire,Production sector,A-E,58450
2016,North Yorkshire,Construction,F (41-43),19820
2016,North Yorkshire,Services sector,G-T,325145
2016,Northumberland and Tyne and Wear,Production sector,A-E,76985
