DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2022,Cornwall and Isles of Scilly,Financial and insurance activities,K (64-66),1920
2022,Cornwall and Isles of Scilly,Real estate activities,L (68),4325
2022,Cornwall and Isles of Scilly,"Professional, scientific and technical activities",M (69-75),13205
2022,Cornwall and Isles of Scilly,Administrative and support service activities,N (77-82),14735
2022,Cornwall and Isles of Scilly,Public administration and defence,O (84),6740
2022,Cornwall and Isles of Scilly,Education,P (85),18015
2022,Cornwall and Isles of Scilly,Human health and social work activities,Q (86-88),35425
2022,Cornwall and Isles of Scilly,"Arts, entertainment and recreation",R (90-93),8085
2022,Cornwall and Isles of Scilly,Other service activities,S (94-96),4675
2022,Cornwall and Isles of Scilly,Activities of households,T (97-98),0
2022,Cornwall and Isles of Scilly,Activities of extraterritorial organisations and bodies,U (99),0
2022,Cumbria,"Agriculture, forestry and fishing",A (1-3),13515
2022,Cumbria,Mining and quarrying,B (5-9),680
2022,Cumbria,Manufacturing,C (10-33),40625
2022,Cumbria,"Electricity, gas, steam and air conditioning supply",D (35),610
2022,Cumbria,Water supply; sewerage and waste management,E (36-39),2005
2022,Cumbria,Construction,F (41-43),15950
2022,Cumbria,Wholesale and retail trade; repair of motor vehicles,G (45-47),35465
2022,Cumbria,Transportation and storage,H (49-53),10310
2022,Cumbria,Accommodation and food service activities,I (55-56),30000
2022,Cumbria,Information and communication,J (58-63),2975
2022,Cumbria,Financial and insurance activities,K (64-66),2485
2022,Cumbria,Real estate activities,L (68),2925
2022,Cumbria,"Professional, scientific and technical activities",M (69-75),14700
2022,Cumbria,Administrative and support service activities,N (77-82),9835
2022,Cumbria,Public administration and defence,O (84),10900
2022,Cumbria,Education,P (85),15110
2022,Cumbria,Human health and social work activities,Q (86-88),32625
2022,Cumbria,"Arts, entertainment and recreation",R (90-93),5075
2022,Cumbria,Other service activities,S (94-96),4625
2022,Cumbria,Activities of households,T (97-98),0
2022,Cumbria,Activities of extraterritorial organisations and bodies,U (99),0
2022,Derbyshire and Nottinghamshire,"Agriculture, forestry and fishing",A (1-3),12130
2022,Derbyshire and Nottinghamshire,Mining and quarrying,B (5-9),1710
2022,Derbyshire and Nottinghamshire,Manufacturing,C (10-33),113420
2022,Derbyshire and Nottinghamshire,"Electricity, gas, steam and air conditioning supply",D (35),6340
2022,Derbyshire and Nottinghamshire,Water supply; sewerage and waste management,E (36-39),5875
2022,Derbyshire and Nottinghamshire,Construction,F (41-43),59290
2022,Derbyshire and Nottinghamshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),148375
2022,Derbyshire and Nottinghamshire,Transportation and storage,H (49-53),53085
2022,Derbyshire and Nottinghamshire,Accommodation and food service activities,I (55-56),80550
2022,Derbyshire and Nottinghamshire,Information and communication,J (58-63),30250
2022,Derbyshire and Nottinghamshire,Financial and insurance activities,K (64-66),13950
2022,Derbyshire and Nottinghamshire,Real estate activities,L (68),15050
2022,Derbyshire and Nottinghamshire,"Professional, scientific and technical activities",M (69-75),67700
2022,Derbyshire and Nottinghamshire,Administrative and support service activities,N (77-82),82585
2022,Derbyshire and Nottinghamshire,Public administration and defence,O (84),42300
2022,Derbyshire and Nottinghamshire,Education,P (85),87095
2022,Derbyshire and Nottinghamshire,Human health and social work activities,Q (86-88),144250
2022,Derbyshire and Nottinghamshire,"Arts, entertainment and recreation",R (90-93),23960
2022,Derbyshire and Nottinghamshire,Other service activities,S (94-96),13215
2022,Derbyshire and Nottinghamshire,Activities of households,T (97-98),0
2022,Derbyshire and Nottinghamshire,Activities of extraterritorial organisations and bodies,U (99),0
2022,Devon,"Agriculture, forestry and fishing",A (1-3),21145
2022,Devon,Mining and quarrying,B (5-9),495
2022,Devon,Manufacturing,C (10-33),46645
2022,Devon,"Electricity, gas, steam and air conditioning supply",D (35),2125
2022,Devon,Water supply; sewerage and waste management,E (36-39),4465
2022,Devon,Construction,F (41-43),31465
2022,Devon,Wholesale and retail trade; repair of motor vehicles,G (45-47),75585
2022,Devon,Transportation and storage,H (49-53),21390
2022,Devon,Accommodation and food service activities,I (55-56),58500
2022,Devon,Information and communication,J (58-63),11450
2022,Devon,Financial and insurance activities,K (64-66),5490
2022,Devon,Real estate activities,L (68),10110
2022,Devon,"Professional, scientific and technical activities",M (69-75),34065
2022,Devon,Administrative and support service activities,N (77-82),29290
2022,Devon,Public administration and defence,O (84),24250
2022,Devon,Education,P (85),51950
2022,Devon,Human health and social work activities,Q (86-88),78500
2022,Devon,"Arts, entertainment and recreation",R (90-93),15325
2022,Devon,Other service activities,S (94-96),11310
2022,Devon,Activities of households,T (97-98),0
2022,Devon,Activities of extraterritorial organisations and bodies,U (99),0
2022,Dorset and Somerset,"Agriculture, forestry and fishing",A (1-3),17800
2022,Dorset and Somerset,Mining and quarrying,B (5-9),560
2022,Dorset and Somerset,Manufacturing,C (10-33),62220
2022,Dorset and Somerset,"Electricity, gas, steam and air conditioning supply",D (35),700
2022,Dorset and Somerset,Water supply; sewerage and waste management,E (36-39),2725
2022,Dorset and Somerset,Construction,F (41-43),22390
2022,Dorset and Somerset,Wholesale and retail trade; repair of motor vehicles,G (45-47),57395
2022,Dorset and Somerset,Transportation and storage,H (49-53),16025
2022,Dorset and Somerset,Accommodation and food service activities,I (55-56),32060
2022,Dorset and Somerset,Information and communication,J (58-63),6875
2022,Dorset and Somerset,Financial and insurance activities,K (64-66),2375
2022,Dorset and Somerset,Real estate activities,L (68),8900
2022,Dorset and Somerset,"Professional, scientific and technical activities",M (69-75),23770
2022,Dorset and Somerset,Administrative and support service activities,N (77-82),33935
2022,Dorset and Somerset,Public administration and defence,O (84),11350
2022,Dorset and Somerset,Education,P (85),33895
2022,Dorset and Somerset,Human health and social work activities,Q (86-88),45925
2022,Dorset and Somerset,"Arts, entertainment and recreation",R (90-93),9065
2022,Dorset and Somerset,Other service activities,S (94-96),9185
2022,Dorset and Somerset,Activities of households,T (97-98),0
2022,Dorset and Somerset,Activities of extraterritorial organisations and bodies,U (99),0
