DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2015,Bedfordshire and Hertfordshire,Production sector,A-E,5710
2015,Bedfordshire and Hertfordshire,Construction,F (41-43),5005
2015,Bedfordshire and Hertfordshire,Services sector,G-T,273120
2015,"Berkshire, Buckinghamshire and Oxfordshire",Production sector,A-E,8020
2015,"Berkshire, Buckinghamshire and Oxfordshire",Construction,F (41-43),5500
2015,"Berkshire, Buckinghamshire and Oxfordshire",Services sector,G-T,351440
2015,Cheshire,Production sector,A-E,3900
2015,Cheshire,Construction,F (41-43),1335
2015,Cheshire,Services sector,G-T,142485
2015,Cornwall and Isles of Scilly,Production sector,A-E,3315
2015,Cornwall and Isles of Scilly,Construction,F (41-43),1245
2015,Cornwall and Isles of Scilly,Services sector,G-T,77245
2015,Cumbria,Production sector,A-E,3455
2015,Cumbria,Construction,F (41-43),1025
2015,Cumbria,Services sector,G-T,76095
2015,Derbyshire and Nottinghamshire,Production sector,A-E,11815
2015,Derbyshire and Nottinghamshire,Construction,F (41-43),6165
2015,Derbyshire and Nottinghamshire,Services sector,G-T,277750
2015,Devon,Production sector,A-E,5755
2015,Devon,Construction,F (41-43),2335
2015,Devon,Services sector,G-T,166030
2015,Dorset and Somerset,Production sector,A-E,7455
2015,Dorset and Somerset,Construction,F (41-43),2980
2015,Dorset and Somerset,Services sector,G-T,179550
2015,East Anglia,Production sector,A-E,12685
2015,East Anglia,Construction,F (41-43),6055
2015,East Anglia,Services sector,G-T,336565
2015,East Wales,Production sector,A-E,8885
2015,East Wales,Construction,F (41-43),1720
2015,East Wales,Services sector,G-T,166245
2015,East Yorkshire and Northern Lincolnshire,Production sector,A-E,5515
2015,East Yorkshire and Northern Lincolnshire,Construction,F (41-43),2190
2015,East Yorkshire and Northern Lincolnshire,Services sector,G-T,116220
2015,Eastern Scotland,Production sector,A-E,6085
2015,Eastern Scotland,Construction,F (41-43),3435
2015,Eastern Scotland,Services sector,G-T,279315
2015,Essex,Production sector,A-E,5655
2015,Essex,Construction,F (41-43),5365
2015,Essex,Services sector,G-T,226805
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Production sector,A-E,10030
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Construction,F (41-43),5300
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",Services sector,G-T,368020
2015,Greater Manchester,Production sector,A-E,9190
2015,Greater Manchester,Construction,F (41-43),3845
2015,Greater Manchester,Services sector,G-T,361780
2015,Hampshire and Isle of Wight,Production sector,A-E,7415
2015,Hampshire and Isle of Wight,Construction,F (41-43),4925
2015,Hampshire and Isle of Wight,Services sector,G-T,278310
2015,"Herefordshire, Worcestershire and Warwickshire",Production sector,A-E,7770
2015,"Herefordshire, Worcestershire and Warwickshire",Construction,F (41-43),4940
2015,"Herefordshire, Worcestershire and Warwickshire",Services sector,G-T,173085
2015,Highlands and Islands,Production sector,A-E,3015
2015,Highlands and Islands,Construction,F (41-43),995
2015,Highlands and Islands,Services sector,G-T,75035
2015,Inner London - East,Production sector,A-E,3315
2015,Inner London - East,Construction,F (41-43),4440
2015,Inner London - East,Services sector,G-T,286900
2015,Inner London - West,Production sector,A-E,2005
2015,Inner London - West,Construction,F (41-43),4690
2015,Inner London - West,Services sector,G-T,383600
2015,Kent,Production sector,A-E,6350
2015,Kent,Construction,F (41-43),4265
2015,Kent,Services sector,G-T,220240
2015,Lancashire,Production sector,A-E,6505
2015,Lancashire,Construction,F (41-43),2300
2015,Lancashire,Services sector,G-T,182965
2015,"Leicestershire, Rutland and Northamptonshire",Production sector,A-E,11470
2015,"Leicestershire, Rutland and Northamptonshire",Construction,F (41-43),4625
2015,"Leicestershire, Rutland and Northamptonshire",Services sector,G-T,226090
2015,Lincolnshire,Production sector,A-E,4250
2015,Lincolnshire,Construction,F (41-43),1905
2015,Lincolnshire,Services sector,G-T,83205
2015,Merseyside,Production sector,A-E,3395
2015,Merseyside,Construction,F (41-43),1540
2015,Merseyside,Services sector,G-T,202515
2015,North Eastern Scotland,Production sector,A-E,2650
2015,North Eastern Scotland,Construction,F (41-43),785
2015,North Eastern Scotland,Services sector,G-T,80400
2015,North Yorkshire,Production sector,A-E,4730
2015,North Yorkshire,Construction,F (41-43),1695
2015,North Yorkshire,Services sector,G-T,132915
2015,Northumberland and Tyne and Wear,Production sector,A-E,5355
2015,Northumberland and Tyne and Wear,Construction,F (41-43),2425
2015,Northumberland and Tyne and Wear,Services sector,G-T,193065
2015,Outer London - East and North East,Production sector,A-E,3500
2015,Outer London - East and North East,Construction,F (41-43),4700
2015,Outer London - East and North East,Services sector,G-T,171160
2015,Outer London - South,Production sector,A-E,1210
2015,Outer London - South,Construction,F (41-43),3655
2015,Outer London - South,Services sector,G-T,151450
