DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2015,Barnet,Activities of households,T (97-98),0
2015,Barnet,Activities of extraterritorial organisations and bodies,U (99),0
2015,"Barnsley, Doncaster and Rotherham","Agriculture, forestry and fishing",A (1-3),400
2015,"Barnsley, Doncaster and Rotherham",Mining and quarrying,B (5-9),40
2015,"Barnsley, Doncaster and Rotherham",Manufacturing,C (10-33),4910
2015,"Barnsley, Doncaster and Rotherham","Electricity, gas, steam and air conditioning supply",D (35),100
2015,"Barnsley, Doncaster and Rotherham",Water supply; sewerage and waste management,E (36-39),420
2015,"Barnsley, Doncaster and Rotherham",Construction,F (41-43),4600
2015,"Barnsley, Doncaster and Rotherham",Wholesale and retail trade; repair of motor vehicles,G (45-47),38530
2015,"Barnsley, Doncaster and Rotherham",Transportation and storage,H (49-53),5220
2015,"Barnsley, Doncaster and Rotherham",Accommodation and food service activities,I (55-56),20920
2015,"Barnsley, Doncaster and Rotherham",Information and communication,J (58-63),1150
2015,"Barnsley, Doncaster and Rotherham",Financial and insurance activities,K (64-66),2270
2015,"Barnsley, Doncaster and Rotherham",Real estate activities,L (68),1300
2015,"Barnsley, Doncaster and Rotherham","Professional, scientific and technical activities",M (69-75),4580
2015,"Barnsley, Doncaster and Rotherham",Administrative and support service activities,N (77-82),15950
2015,"Barnsley, Doncaster and Rotherham",Public administration and defence,O (84),7200
2015,"Barnsley, Doncaster and Rotherham",Education,P (85),20500
2015,"Barnsley, Doncaster and Rotherham",Human health and social work activities,Q (86-88),42100
2015,"Barnsley, Doncaster and Rotherham","Arts, entertainment and recreation",R (90-93),8970
2015,"Barnsley, Doncaster and Rotherham",Other service activities,S (94-96),3610
2015,"Barnsley, Doncaster and Rotherham",Activities of households,T (97-98),0
2015,"Barnsley, Doncaster and Rotherham",Activities of extraterritorial organisations and bodies,U (99),0
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire","Agriculture, forestry and fishing",A (1-3),970
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Mining and quarrying,B (5-9),0
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Manufacturing,C (10-33),3190
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire","Electricity, gas, steam and air conditioning supply",D (35),0
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Water supply; sewerage and waste management,E (36-39),280
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Construction,F (41-43),3430
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Wholesale and retail trade; repair of motor vehicles,G (45-47),44600
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Transportation and storage,H (49-53),5560
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Accommodation and food service activities,I (55-56),25160
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Information and communication,J (58-63),3450
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Financial and insurance activities,K (64-66),3120
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Real estate activities,L (68),2380
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire","Professional, scientific and technical activities",M (69-75),9650
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Administrative and support service activities,N (77-82),20100
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Public administration and defence,O (84),8980
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Education,P (85),27750
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Human health and social work activities,Q (86-88),39350
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire","Arts, entertainment and recreation",R (90-93),7560
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Other service activities,S (94-96),6290
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Activities of households,T (97-98),0
2015,"Bath and North East Somerset, North Somerset and South Gloucestershire",Activities of extraterritorial organisations and bodies,U (99),0
2015,Bedford,"Agriculture, forestry and fishing",A (1-3),210
2015,Bedford,Mining and quarrying,B (5-9),0
2015,Bedford,Manufacturing,C (10-33),710
2015,Bedford,"Electricity, gas, steam and air conditioning supply",D (35),300
2015,Bedford,Water supply; sewerage and waste management,E (36-39),120
2015,Bedford,Construction,F (41-43),680
2015,Bedford,Wholesale and retail trade; repair of motor vehicles,G (45-47),9590
2015,Bedford,Transportation and storage,H (49-53),850
2015,Bedford,Accommodation and food service activities,I (55-56),5260
2015,Bedford,Information and communication,J (58-63),480
2015,Bedford,Financial and insurance activities,K (64-66),340
2015,Bedford,Real estate activities,L (68),360
2015,Bedford,"Professional, scientific and technical activities",M (69-75),2280
2015,Bedford,Administrative and support service activities,N (77-82),3600
2015,Bedford,Public administration and defence,O (84),2020
2015,Bedford,Education,P (85),8210
2015,Bedford,Human health and social work activities,Q (86-88),8070
2015,Bedford,"Arts, entertainment and recreation",R (90-93),1440
2015,Bedford,Other service activities,S (94-96),1890
2015,Bedford,Activities of households,T (97-98),0
2015,Bedford,Activities of extraterritorial organisations and bodies,U (99),0
2015,Berkshire,"Agriculture, forestry and fishing",A (1-3),620
2015,Berkshire,Mining and quarrying,B (5-9),60
2015,Berkshire,Manufacturing,C (10-33),3750
2015,Berkshire,"Electricity, gas, steam and air conditioning supply",D (35),220
2015,Berkshire,Water supply; sewerage and waste management,E (36-39),890
2015,Berkshire,Construction,F (41-43),3930
2015,Berkshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),53570
2015,Berkshire,Transportation and storage,H (49-53),4490
2015,Berkshire,Accommodation and food service activities,I (55-56),29450
2015,Berkshire,Information and communication,J (58-63),11160
2015,Berkshire,Financial and insurance activities,K (64-66),2710
2015,Berkshire,Real estate activities,L (68),4830
2015,Berkshire,"Professional, scientific and technical activities",M (69-75),20670
2015,Berkshire,Administrative and support service activities,N (77-82),25980
2015,Berkshire,Public administration and defence,O (84),5750
2015,Berkshire,Education,P (85),43530
2015,Berkshire,Human health and social work activities,Q (86-88),36550
2015,Berkshire,"Arts, entertainment and recreation",R (90-93),13030
2015,Berkshire,Other service activities,S (94-96),8630
2015,Berkshire,Activities of households,T (97-98),0
2015,Berkshire,Activities of extraterritorial organisations and bodies,U (99),0
2015,Bexley and Greenwich,"Agriculture, forestry and fishing",A (1-3),0
2015,Bexley and Greenwich,Mining and quarrying,B (5-9),0
2015,Bexley and Greenwich,Manufacturing,C (10-33),1850
2015,Bexley and Greenwich,"Electricity, gas, steam and air conditioning supply",D (35),60
2015,Bexley and Greenwich,Water supply; sewerage and waste management,E (36-39),290
2015,Bexley and Greenwich,Construction,F (41-43),2210
2015,Bexley and Greenwich,Wholesale and retail trade; repair of motor vehicles,G (45-47),22710
2015,Bexley and Greenwich,Transportation and storage,H (49-53),1600
2015,Bexley and Greenwich,Accommodation and food service activities,I (55-56),11760
2015,Bexley and Greenwich,Information and communication,J (58-63),1260
2015,Bexley and Greenwich,Financial and insurance activities,K (64-66),850
2015,Bexley and Greenwich,Real estate activities,L (68),880
2015,Bexley and Greenwich,"Professional, scientific and technical activities",M (69-75),2850
2015,Bexley and Greenwich,Administrative and support service activities,N (77-82),13610
2015,Bexley and Greenwich,Public administration and defence,O (84),3320
2015,Bexley and Greenwich,Education,P (85),19630
2015,Bexley and Greenwich,Human health and social work activities,Q (86-88),20700
2015,Bexley and Greenwich,"Arts, entertainment and recreation",R (90-93),4480
2015,Bexley and Greenwich,Other service activities,S (94-96),2150
2015,Bexley and Greenwich,Activities of households,T (97-98),0
2015,Bexley and Greenwich,Activities of extraterritorial organisations and bodies,U (99),0
2015,Birmingham,"Agriculture, forestry and fishing",A (1-3),70
2015,Birmingham,Mining and quarrying,B (5-9),0
2015,Birmingham,Manufacturing,C (10-33),6480
2015,Birmingham,"Electricity, gas, steam and air conditioning supply",D (35),0
2015,Birmingham,Water supply; sewerage and waste management,E (36-39),260
2015,Birmingham,Construction,F (41-43),5320
2015,Birmingham,Wholesale and retail trade; repair of motor vehicles,G (45-47),55730
2015,Birmingham,Transportation and storage,H (49-53),7050
2015,Birmingham,Accommodation and food service activities,I (55-56),33610
2015,Birmingham,Information and communication,J (58-63),2940
2015,Birmingham,Financial and insurance activities,K (64-66),6980
2015,Birmingham,Real estate activities,L (68),3510
2015,Birmingham,"Professional, scientific and technical activities",M (69-75),14490
2015,Birmingham,Administrative and support service activities,N (77-82),24800
2015,Birmingham,Public administration and defence,O (84),9600
2015,Birmingham,Education,P (85),43440
2015,Birmingham,Human health and social work activities,Q (86-88),47900
2015,Birmingham,"Arts, entertainment and recreation",R (90-93),10760
2015,Birmingham,Other service activities,S (94-96),6930
2015,Birmingham,Activities of households,T (97-98),0
2015,Birmingham,Activities of extraterritorial organisations and bodies,U (99),0
2015,Blackburn with Darwen,"Agriculture, forestry and fishing",A (1-3),20
2015,Blackburn with Darwen,Mining and quarrying,B (5-9),0
2015,Blackburn with Darwen,Manufacturing,C (10-33),1780
2015,Blackburn with Darwen,"Electricity, gas, steam and air conditioning supply",D (35),0
2015,Blackburn with Darwen,Water supply; sewerage and waste management,E (36-39),20
2015,Blackburn with Darwen,Construction,F (41-43),240
2015,Blackburn with Darwen,Wholesale and retail trade; repair of motor vehicles,G (45-47),7440
2015,Blackburn with Darwen,Transportation and storage,H (49-53),1090
2015,Blackburn with Darwen,Accommodation and food service activities,I (55-56),3020
2015,Blackburn with Darwen,Information and communication,J (58-63),710
2015,Blackburn with Darwen,Financial and insurance activities,K (64-66),260
2015,Blackburn with Darwen,Real estate activities,L (68),390
2015,Blackburn with Darwen,"Professional, scientific and technical activities",M (69-75),1250
2015,Blackburn with Darwen,Administrative and support service activities,N (77-82),2130
2015,Blackburn with Darwen,Public administration and defence,O (84),2160
2015,Blackburn with Darwen,Education,P (85),7960
2015,Blackburn with Darwen,Human health and social work activities,Q (86-88),16580
2015,Blackburn with Darwen,"Arts, entertainment and recreation",R (90-93),2160
2015,Blackburn with Darwen,Other service activities,S (94-96),720
2015,Blackburn with Darwen,Activities of households,T (97-98),0
2015,Blackburn with Darwen,Activities of extraterritorial organisations and bodies,U (99),0
2015,Blackpool,"Agriculture, forestry and fishing",A (1-3),0
2015,Blackpool,Mining and quarrying,B (5-9),0
2015,Blackpool,Manufacturing,C (10-33),320
2015,Blackpool,"Electricity, gas, steam and air conditioning supply",D (35),20
2015,Blackpool,Water supply; sewerage and waste management,E (36-39),40
2015,Blackpool,Construction,F (41-43),230
2015,Blackpool,Wholesale and retail trade; repair of motor vehicles,G (45-47),8970
2015,Blackpool,Transportation and storage,H (49-53),730
2015,Blackpool,Accommodation and food service activities,I (55-56),8620
2015,Blackpool,Information and communication,J (58-63),340
2015,Blackpool,Financial and insurance activities,K (64-66),250
2015,Blackpool,Real estate activities,L (68),210
2015,Blackpool,"Professional, scientific and technical activities",M (69-75),780
2015,Blackpool,Administrative and support service activities,N (77-82),1550
2015,Blackpool,Public administration and defence,O (84),5270
2015,Blackpool,Education,P (85),3700
2015,Blackpool,Human health and social work activities,Q (86-88),8870
2015,Blackpool,"Arts, entertainment and recreation",R (90-93),3960
2015,Blackpool,Other service activities,S (94-96),740
2015,Blackpool,Activities of households,T (97-98),0
2015,Blackpool,Activities of extraterritorial organisations and bodies,U (99),0
2015,Bournemouth and Poole,"Agriculture, forestry and fishing",A (1-3),90
2015,Bournemouth and Poole,Mining and quarrying,B (5-9),20
2015,Bournemouth and Poole,Manufacturing,C (10-33),1310
2015,Bournemouth and Poole,"Electricity, gas, steam and air conditioning supply",D (35),60
2015,Bournemouth and Poole,Water supply; sewerage and waste management,E (36-39),110
2015,Bournemouth and Poole,Construction,F (41-43),1380
2015,Bournemouth and Poole,Wholesale and retail trade; repair of motor vehicles,G (45-47),23760
2015,Bournemouth and Poole,Transportation and storage,H (49-53),1870
2015,Bournemouth and Poole,Accommodation and food service activities,I (55-56),15100
2015,Bournemouth and Poole,Information and communication,J (58-63),1510
2015,Bournemouth and Poole,Financial and insurance activities,K (64-66),2860
2015,Bournemouth and Poole,Real estate activities,L (68),2870
2015,Bournemouth and Poole,"Professional, scientific and technical activities",M (69-75),3370
2015,Bournemouth and Poole,Administrative and support service activities,N (77-82),8930
2015,Bournemouth and Poole,Public administration and defence,O (84),2810
2015,Bournemouth and Poole,Education,P (85),11720
2015,Bournemouth and Poole,Human health and social work activities,Q (86-88),22900
2015,Bournemouth and Poole,"Arts, entertainment and recreation",R (90-93),5390
2015,Bournemouth and Poole,Other service activities,S (94-96),2280
2015,Bournemouth and Poole,Activities of households,T (97-98),0
2015,Bournemouth and Poole,Activities of extraterritorial organisations and bodies,U (99),0
2015,Bradford,"Agriculture, forestry and fishing",A (1-3),200
2015,Bradford,Mining and quarrying,B (5-9),10
2015,Bradford,Manufacturing,C (10-33),3630
2015,Bradford,"Electricity, gas, steam and air conditioning supply",D (35),0
2015,Bradford,Water supply; sewerage and waste management,E (36-39),800
2015,Bradford,Construction,F (41-43),1410
2015,Bradford,Wholesale and retail trade; repair of motor vehicles,G (45-47),24430
2015,Bradford,Transportation and storage,H (49-53),3550
2015,Bradford,Accommodation and food service activities,I (55-56),12290
2015,Bradford,Information and communication,J (58-63),4130
