DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2016,Bedfordshire and Hertfordshire,Construction,F (41-43),42150
2016,Bedfordshire and Hertfordshire,Services sector,G-T,471610
2016,"Berkshire, Buckinghamshire and Oxfordshire",Production sector,A-E,91410
2016,"Berkshire, Buckinghamshire and Oxfordshire",Construction,F (41-43),46575
2016,"Berkshire, Buckinghamshire and Oxfordshire",Services sector,G-T,772150
2016,Cheshire,Production sector,A-E,49805
2016,Cheshire,Construction,F (41-43),15955
2016,Cheshire,Services sector,G-T,269740
2016,Cornwall and Isles of Scilly,Production sector,A-E,20990
2016,Cornwall and Isles of Scilly,Construction,F (41-43),11250
2016,Cornwall and Isles of Scilly,Services sector,G-T,95725
2016,Cumbria,Production sector,A-E,40780
2016,Cumbria,Construction,F (41-43),9065
2016,Cumbria,Services sector,G-T,101375
2016,Derbyshire and Nottinghamshire,Production sector,A-E,129815
2016,Derbyshire and Nottinghamshire,Construction,F (41-43),44195
2016,Derbyshire and Nottinghamshire,Services sector,G-T,457525
2016,Devon,Production sector,A-E,48450
2016,Devon,Construction,F (41-43),23535
2016,Devon,Services sector,G-T,229450
2016,Dorset and Somerset,Production sector,A-E,65565
2016,Dorset and Somerset,Construction,F (41-43),25310
2016,Dorset and Somerset,Services sector,G-T,261780
2016,East Anglia,Production sector,A-E,123510
2016,East Anglia,Construction,F (41-43),42695
2016,East Anglia,Services sector,G-T,574180
2016,East Wales,Production sector,A-E,71910
2016,East Wales,Construction,F (41-43),22235
2016,East Wales,Services sector,G-T,266400
2016,East Yorkshire and Northern Lincolnshire,Production sector,A-E,63185
2016,East Yorkshire and Northern Lincolnshire,Construction,F (41-43),17180
2016,East Yorkshire and Northern Lincolnshire,Services sector,G-T,175450
2016,Eastern Scotland,Production sector,A-E,68690
2016,Eastern Scotland,Construction,F (41-43),40160
2016,Eastern Scotland,Services sector,G-T,487550
2016,Essex,Production sector,A-E,55450
2016,Essex,Construction,F (41-43),37885
2016,Essex,Services sector,G-T,358335
2016,"Gloucestershire, Wiltshire and Bath/Bristol area",Production sector,A-E,116590
2016,"Gloucestershire, Wiltshire and Bath/Bristol area",Construction,F (41-43),51915
2016,"Gloucestershire, Wiltshire and Bath/Bristol area",Services sector,G-T,616460
2016,Greater Manchester,Production sector,A-E,110480
2016,Greater Manchester,Construction,F (41-43),41985
2016,Greater Manchester,Services sector,G-T,712505
2016,Hampshire and Isle of Wight,Production sector,A-E,73200
2016,Hampshire and Isle of Wight,Construction,F (41-43),37200
2016,Hampshire and Isle of Wight,Services sector,G-T,465075
2016,"Herefordshire, Worcestershire and Warwickshire",Production sector,A-E,89680
2016,"Herefordshire, Worcestershire and Warwickshire",Construction,F (41-43),22545
2016,"Herefordshire, Worcestershire and Warwickshire",Services sector,G-T,300670
2016,Highlands and Islands,Production sector,A-E,21680
2016,Highlands and Islands,Construction,F (41-43),13200
2016,Highlands and Islands,Services sector,G-T,93515
2016,Inner London - East,Production sector,A-E,22905
2016,Inner London - East,Construction,F (41-43),31265
2016,Inner London - East,Services sector,G-T,879255
2016,Inner London - West,Production sector,A-E,19195
2016,Inner London - West,Construction,F (41-43),35050
2016,Inner London - West,Services sector,G-T,1453255
2016,Kent,Production sector,A-E,60505
2016,Kent,Construction,F (41-43),38650
2016,Kent,Services sector,G-T,368320
2016,Lancashire,Production sector,A-E,90040
2016,Lancashire,Construction,F (41-43),26530
2016,Lancashire,Services sector,G-T,308550
2016,"Leicestershire, Rutland and Northamptonshire",Production sector,A-E,110925
2016,"Leicestershire, Rutland and Northamptonshire",Construction,F (41-43),32975
2016,"Leicestershire, Rutland and Northamptonshire",Services sector,G-T,424095
2016,Lincolnshire,Production sector,A-E,43920
2016,Lincolnshire,Construction,F (41-43),14470
2016,Lincolnshire,Services sector,G-T,133940
2016,Merseyside,Production sector,A-E,50390
2016,Merseyside,Construction,F (41-43),18855
2016,Merseyside,Services sector,G-T,332680
2016,North Eastern Scotland,Production sector,A-E,50110
2016,North Eastern Scotland,Construction,F (41-43),13290
2016,North Eastern Scotland,Services sector,G-T,128120
2016,North Yorkshire,Production sector,A-E,40215
2016,North Yorkshire,Construction,F (41-43),15015
2016,North Yorkshire,Services sector,G-T,183245
2016,Northumberland and Tyne and Wear,Production sector,A-E,65710
2016,Northumberland and Tyne and Wear,Construction,F (41-43),19075
2016,Northumberland and Tyne and Wear,Services sector,G-T,322320
2016,Outer London - East and North East,Production sector,A-E,28590
2016,Outer London - East and North East,Construction,F (41-43),28350
2016,Outer London - East and North East,Services sector,G-T,294920
2016,Outer London - South,Production sector,A-E,13415
2016,Outer London - South,Construction,F (41-43),21405
2016,Outer London - South,Services sector,G-T,264820
2016,Outer London - West and North West,Production sector,A-E,39505
2016,Outer London - West and North West,Construction,F (41-43),32360
2016,Outer London - West and North West,Services sector,G-T,555155
2016,Shropshire and Staffordshire,Production sector,A-E,87300
2016,Shropshire and Staffordshire,Construction,F (41-43),25640
2016,Shropshire and Staffordshire,Services sector,G-T,335320
2016,South Yorkshire,Production sector,A-E,53090
2016,South Yorkshire,Construction,F (41-43),24595
2016,South Yorkshire,Services sector,G-T,290020
2016,Southern Scotland,Production sector,A-E,38175
2016,Southern Scotland,Construction,F (41-43),20325
2016,Southern Scotland,Services sector,G-T,162020
2016,"Surrey, East and West Sussex",Production sector,A-E,84410
2016,"Surrey, East and West Sussex",Construction,F (41-43),51625
2016,"Surrey, East and West Sussex",Services sector,G-T,712375
2016,Tees Valley and Durham,Production sector,A-E,51705
2016,Tees Valley and Durham,Construction,F (41-43),17495
2016,Tees Valley and Durham,Services sector,G-T,210360
2016,West Central Scotland,Production sector,A-E,48120
2016,West Central Scotland,Construction,F (41-43),36080
2016,West Central Scotland,Services sector,G-T,413695
2016,West Midlands,Production sector,A-E,136570
2016,West Midlands,Construction,F (41-43),37290
2016,West Midlands,Services sector,G-T,672680
2016,West Wales,Production sector,A-E,90230
2016,West Wales,Construction,F (41-43),40010
2016,West Wales,Services sector,G-T,320455
2016,West Yorkshire,Production sector,A-E,105360
2016,West Yorkshire,Construction,F (41-43),41510
2016,West Yorkshire,Services sector,G-T,551670
2017,Bedfordshire and Hertfordshire,Production sector,A-E,65865
2017,Bedfordshire and Hertfordshire,Construction,F (41-43),44175
2017,Bedfordshire and Hertfordshire,Services sector,G-T,480155
2017,"Berkshire, Buckinghamshire and Oxfordshire",Production sector,A-E,89770
2017,"Berkshire, Buckinghamshire and Oxfordshire",Construction,F (41-43),51560
2017,"Berkshire, Buckinghamshire and Oxfordshire",Services sector,G-T,734570
2017,Cheshire,Production sector,A-E,49150
2017,Cheshire,Construction,F (41-43),20520
2017,Cheshire,Services sector,G-T,269380
2017,Cornwall and Isles of Scilly,Production sector,A-E,19050
2017,Cornwall and Isles of Scilly,Construction,F (41-43),10590
2017,Cornwall and Isles of Scilly,Services sector,G-T,98200
2017,Cumbria,Production sector,A-E,41925
2017,Cumbria,Construction,F (41-43),11675
