DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2022,Barnet,Activities of extraterritorial organisations and bodies,U (99),0
2022,"Barnsley, Doncaster and Rotherham","Agriculture, forestry and fishing",A (1-3),160
2022,"Barnsley, Doncaster and Rotherham",Mining and quarrying,B (5-9),0
2022,"Barnsley, Doncaster and Rotherham",Manufacturing,C (10-33),3405
2022,"Barnsley, Doncaster and Rotherham","Electricity, gas, steam and air conditioning supply",D (35),30
2022,"Barnsley, Doncaster and Rotherham",Water supply; sewerage and waste management,E (36-39),440
2022,"Barnsley, Doncaster and Rotherham",Construction,F (41-43),2155
2022,"Barnsley, Doncaster and Rotherham",Wholesale and retail trade; repair of motor vehicles,G (45-47),22080
2022,"Barnsley, Doncaster and Rotherham",Transportation and storage,H (49-53),4640
2022,"Barnsley, Doncaster and Rotherham",Accommodation and food service activities,I (55-56),12905
2022,"Barnsley, Doncaster and Rotherham",Information and communication,J (58-63),1015
2022,"Barnsley, Doncaster and Rotherham",Financial and insurance activities,K (64-66),1235
2022,"Barnsley, Doncaster and Rotherham",Real estate activities,L (68),1055
2022,"Barnsley, Doncaster and Rotherham","Professional, scientific and technical activities",M (69-75),2730
2022,"Barnsley, Doncaster and Rotherham",Administrative and support service activities,N (77-82),9385
2022,"Barnsley, Doncaster and Rotherham",Public administration and defence,O (84),4520
2022,"Barnsley, Doncaster and Rotherham",Education,P (85),10880
2022,"Barnsley, Doncaster and Rotherham",Human health and social work activities,Q (86-88),22425
2022,"Barnsley, Doncaster and Rotherham","Arts, entertainment and recreation",R (90-93),4045
2022,"Barnsley, Doncaster and Rotherham",Other service activities,S (94-96),1755
2022,"Barnsley, Doncaster and Rotherham",Activities of households,T (97-98),0
2022,"Barnsley, Doncaster and Rotherham",Activities of extraterritorial organisations and bodies,U (99),0
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire","Agriculture, forestry and fishing",A (1-3),380
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Mining and quarrying,B (5-9),0
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Manufacturing,C (10-33),1985
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire","Electricity, gas, steam and air conditioning supply",D (35),25
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Water supply; sewerage and waste management,E (36-39),330
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Construction,F (41-43),3065
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Wholesale and retail trade; repair of motor vehicles,G (45-47),20250
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Transportation and storage,H (49-53),4255
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Accommodation and food service activities,I (55-56),17055
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Information and communication,J (58-63),1905
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Financial and insurance activities,K (64-66),1395
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Real estate activities,L (68),1525
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire","Professional, scientific and technical activities",M (69-75),6295
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Administrative and support service activities,N (77-82),7640
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Public administration and defence,O (84),4455
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Education,P (85),16560
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Human health and social work activities,Q (86-88),20450
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire","Arts, entertainment and recreation",R (90-93),4325
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Other service activities,S (94-96),3015
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Activities of households,T (97-98),0
2022,"Bath and North East Somerset, North Somerset and South Gloucestershire",Activities of extraterritorial organisations and bodies,U (99),0
2022,Bedford,"Agriculture, forestry and fishing",A (1-3),65
2022,Bedford,Mining and quarrying,B (5-9),0
2022,Bedford,Manufacturing,C (10-33),405
2022,Bedford,"Electricity, gas, steam and air conditioning supply",D (35),10
2022,Bedford,Water supply; sewerage and waste management,E (36-39),100
2022,Bedford,Construction,F (41-43),795
2022,Bedford,Wholesale and retail trade; repair of motor vehicles,G (45-47),4780
2022,Bedford,Transportation and storage,H (49-53),825
2022,Bedford,Accommodation and food service activities,I (55-56),3405
2022,Bedford,Information and communication,J (58-63),445
2022,Bedford,Financial and insurance activities,K (64-66),235
2022,Bedford,Real estate activities,L (68),445
2022,Bedford,"Professional, scientific and technical activities",M (69-75),1005
2022,Bedford,Administrative and support service activities,N (77-82),1295
2022,Bedford,Public administration and defence,O (84),675
2022,Bedford,Education,P (85),3575
2022,Bedford,Human health and social work activities,Q (86-88),4515
2022,Bedford,"Arts, entertainment and recreation",R (90-93),650
2022,Bedford,Other service activities,S (94-96),435
2022,Bedford,Activities of households,T (97-98),0
2022,Bedford,Activities of extraterritorial organisations and bodies,U (99),0
2022,Berkshire,"Agriculture, forestry and fishing",A (1-3),415
2022,Berkshire,Mining and quarrying,B (5-9),5
2022,Berkshire,Manufacturing,C (10-33),2515
2022,Berkshire,"Electricity, gas, steam and air conditioning supply",D (35),115
2022,Berkshire,Water supply; sewerage and waste management,E (36-39),395
2022,Berkshire,Construction,F (41-43),3345
2022,Berkshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),24645
2022,Berkshire,Transportation and storage,H (49-53),4115
2022,Berkshire,Accommodation and food service activities,I (55-56),16985
2022,Berkshire,Information and communication,J (58-63),6815
2022,Berkshire,Financial and insurance activities,K (64-66),1165
2022,Berkshire,Real estate activities,L (68),2085
2022,Berkshire,"Professional, scientific and technical activities",M (69-75),14755
2022,Berkshire,Administrative and support service activities,N (77-82),17430
2022,Berkshire,Public administration and defence,O (84),2400
2022,Berkshire,Education,P (85),19430
2022,Berkshire,Human health and social work activities,Q (86-88),18900
2022,Berkshire,"Arts, entertainment and recreation",R (90-93),7295
2022,Berkshire,Other service activities,S (94-96),3415
2022,Berkshire,Activities of households,T (97-98),0
2022,Berkshire,Activities of extraterritorial organisations and bodies,U (99),0
2022,Bexley and Greenwich,"Agriculture, forestry and fishing",A (1-3),30
2022,Bexley and Greenwich,Mining and quarrying,B (5-9),0
2022,Bexley and Greenwich,Manufacturing,C (10-33),605
2022,Bexley and Greenwich,"Electricity, gas, steam and air conditioning supply",D (35),0
2022,Bexley and Greenwich,Water supply; sewerage and waste management,E (36-39),220
2022,Bexley and Greenwich,Construction,F (41-43),2365
2022,Bexley and Greenwich,Wholesale and retail trade; repair of motor vehicles,G (45-47),11095
2022,Bexley and Greenwich,Transportation and storage,H (49-53),1760
2022,Bexley and Greenwich,Accommodation and food service activities,I (55-56),7760
2022,Bexley and Greenwich,Information and communication,J (58-63),570
2022,Bexley and Greenwich,Financial and insurance activities,K (64-66),200
2022,Bexley and Greenwich,Real estate activities,L (68),1400
2022,Bexley and Greenwich,"Professional, scientific and technical activities",M (69-75),1640
2022,Bexley and Greenwich,Administrative and support service activities,N (77-82),6365
2022,Bexley and Greenwich,Public administration and defence,O (84),1130
2022,Bexley and Greenwich,Education,P (85),10230
2022,Bexley and Greenwich,Human health and social work activities,Q (86-88),10650
2022,Bexley and Greenwich,"Arts, entertainment and recreation",R (90-93),2170
2022,Bexley and Greenwich,Other service activities,S (94-96),1355
2022,Bexley and Greenwich,Activities of households,T (97-98),0
2022,Bexley and Greenwich,Activities of extraterritorial organisations and bodies,U (99),0
2022,Birmingham,"Agriculture, forestry and fishing",A (1-3),5
2022,Birmingham,Mining and quarrying,B (5-9),0
2022,Birmingham,Manufacturing,C (10-33),4590
2022,Birmingham,"Electricity, gas, steam and air conditioning supply",D (35),15
2022,Birmingham,Water supply; sewerage and waste management,E (36-39),150
2022,Birmingham,Construction,F (41-43),2200
2022,Birmingham,Wholesale and retail trade; repair of motor vehicles,G (45-47),28415
2022,Birmingham,Transportation and storage,H (49-53),4820
2022,Birmingham,Accommodation and food service activities,I (55-56),19955
2022,Birmingham,Information and communication,J (58-63),2615
2022,Birmingham,Financial and insurance activities,K (64-66),2765
2022,Birmingham,Real estate activities,L (68),4275
2022,Birmingham,"Professional, scientific and technical activities",M (69-75),10630
2022,Birmingham,Administrative and support service activities,N (77-82),16820
2022,Birmingham,Public administration and defence,O (84),4830
2022,Birmingham,Education,P (85),17550
2022,Birmingham,Human health and social work activities,Q (86-88),34250
2022,Birmingham,"Arts, entertainment and recreation",R (90-93),4185
2022,Birmingham,Other service activities,S (94-96),5715
2022,Birmingham,Activities of households,T (97-98),0
2022,Birmingham,Activities of extraterritorial organisations and bodies,U (99),0
2022,Blackburn with Darwen,"Agriculture, forestry and fishing",A (1-3),5
2022,Blackburn with Darwen,Mining and quarrying,B (5-9),0
2022,Blackburn with Darwen,Manufacturing,C (10-33),1055
2022,Blackburn with Darwen,"Electricity, gas, steam and air conditioning supply",D (35),0
2022,Blackburn with Darwen,Water supply; sewerage and waste management,E (36-39),15
2022,Blackburn with Darwen,Construction,F (41-43),330
2022,Blackburn with Darwen,Wholesale and retail trade; repair of motor vehicles,G (45-47),4085
2022,Blackburn with Darwen,Transportation and storage,H (49-53),275
2022,Blackburn with Darwen,Accommodation and food service activities,I (55-56),2500
2022,Blackburn with Darwen,Information and communication,J (58-63),400
2022,Blackburn with Darwen,Financial and insurance activities,K (64-66),70
2022,Blackburn with Darwen,Real estate activities,L (68),305
2022,Blackburn with Darwen,"Professional, scientific and technical activities",M (69-75),640
2022,Blackburn with Darwen,Administrative and support service activities,N (77-82),1415
2022,Blackburn with Darwen,Public administration and defence,O (84),1135
2022,Blackburn with Darwen,Education,P (85),3005
2022,Blackburn with Darwen,Human health and social work activities,Q (86-88),5980
2022,Blackburn with Darwen,"Arts, entertainment and recreation",R (90-93),735
2022,Blackburn with Darwen,Other service activities,S (94-96),450
2022,Blackburn with Darwen,Activities of households,T (97-98),0
2022,Blackburn with Darwen,Activities of extraterritorial organisations and bodies,U (99),0
2022,Blackpool,"Agriculture, forestry and fishing",A (1-3),0
2022,Blackpool,Mining and quarrying,B (5-9),0
2022,Blackpool,Manufacturing,C (10-33),320
2022,Blackpool,"Electricity, gas, steam and air conditioning supply",D (35),0
2022,Blackpool,Water supply; sewerage and waste management,E (36-39),10
2022,Blackpool,Construction,F (41-43),255
2022,Blackpool,Wholesale and retail trade; repair of motor vehicles,G (45-47),3880
2022,Blackpool,Transportation and storage,H (49-53),240
2022,Blackpool,Accommodation and food service activities,I (55-56),4930
2022,Blackpool,Information and communication,J (58-63),105
2022,Blackpool,Financial and insurance activities,K (64-66),110
2022,Blackpool,Real estate activities,L (68),105
2022,Blackpool,"Professional, scientific and technical activities",M (69-75),385
2022,Blackpool,Administrative and support service activities,N (77-82),935
2022,Blackpool,Public administration and defence,O (84),2120
2022,Blackpool,Education,P (85),1810
2022,Blackpool,Human health and social work activities,Q (86-88),5955
2022,Blackpool,"Arts, entertainment and recreation",R (90-93),2250
2022,Blackpool,Other service activities,S (94-96),340
2022,Blackpool,Activities of households,T (97-98),0
2022,Blackpool,Activities of extraterritorial organisations and bodies,U (99),0
2022,"Bournemouth, Christchurch and Poole","Agriculture, forestry and fishing",A (1-3),55
2022,"Bournemouth, Christchurch and Poole",Mining and quarrying,B (5-9),0
2022,"Bournemouth, Christchurch and Poole",Manufacturing,C (10-33),870
2022,"Bournemouth, Christchurch and Poole","Electricity, gas, steam and air conditioning supply",D (35),0
2022,"Bournemouth, Christchurch and Poole",Water supply; sewerage and waste management,E (36-39),25
2022,"Bournemouth, Christchurch and Poole",Construction,F (41-43),625
2022,"Bournemouth, Christchurch and Poole",Wholesale and retail trade; repair of motor vehicles,G (45-47),4300
2022,"Bournemouth, Christchurch and Poole",Transportation and storage,H (49-53),300
2022,"Bournemouth, Christchurch and Poole",Accommodation and food service activities,I (55-56),3130
2022,"Bournemouth, Christchurch and Poole",Information and communication,J (58-63),170
2022,"Bournemouth, Christchurch and Poole",Financial and insurance activities,K (64-66),100
2022,"Bournemouth, Christchurch and Poole",Real estate activities,L (68),520
2022,"Bournemouth, Christchurch and Poole","Professional, scientific and technical activities",M (69-75),1085
2022,"Bournemouth, Christchurch and Poole",Administrative and support service activities,N (77-82),1955
2022,"Bournemouth, Christchurch and Poole",Public administration and defence,O (84),445
2022,"Bournemouth, Christchurch and Poole",Education,P (85),3265
2022,"Bournemouth, Christchurch and Poole",Human health and social work activities,Q (86-88),4250
2022,"Bournemouth, Christchurch and Poole","Arts, entertainment and recreation",R (90-93),950
2022,"Bournemouth, Christchurch and Poole",Other service activities,S (94-96),675
2022,"Bournemouth, Christchurch and Poole",Activities of households,T (97-98),0
