DATE,GEOGRAPHY_NAME,SIC_3GROUP_NAME,SIC_3GROUP_CODE,JOBCOUNT
2022,Conwy and Denbighshire,Services sector,G-T,40185
2022,Cornwall and Isles of Scilly,Production sector,A-E,22410
2022,Cornwall and Isles of Scilly,Construction,F (41-43),12165
2022,Cornwall and Isles of Scilly,Services sector,G-T,104975
2022,Coventry,Production sector,A-E,19365
2022,Coventry,Construction,F (41-43),3525
2022,Coventry,Services sector,G-T,87075
2022,Croydon,Production sector,A-E,2685
2022,Croydon,Construction,F (41-43),4665
2022,Croydon,Services sector,G-T,78500
2022,Darlington,Production sector,A-E,3640
2022,Darlington,Construction,F (41-43),1550
2022,Darlington,Services sector,G-T,30615
2022,Derby,Production sector,A-E,22645
2022,Derby,Construction,F (41-43),4430
2022,Derby,Services sector,G-T,69195
2022,Devon CC,Production sector,A-E,34035
2022,Devon CC,Construction,F (41-43),18275
2022,Devon CC,Services sector,G-T,165080
2022,Dorset,Production sector,A-E,13365
2022,Dorset,Construction,F (41-43),2995
2022,Dorset,Services sector,G-T,29005
2022,Dudley,Production sector,A-E,15375
2022,Dudley,Construction,F (41-43),5410
2022,Dudley,Services sector,G-T,50550
2022,Dumfries and Galloway,Production sector,A-E,8615
2022,Dumfries and Galloway,Construction,F (41-43),2580
2022,Dumfries and Galloway,Services sector,G-T,25905
2022,Durham,Production sector,A-E,23200
2022,Durham,Construction,F (41-43),9255
2022,Durham,Services sector,G-T,85750
2022,Ealing,Production sector,A-E,10555
2022,Ealing,Construction,F (41-43),4775
2022,Ealing,Services sector,G-T,74970
2022,East Ayrshire and North Ayrshire mainland,Production sector,A-E,8975
2022,East Ayrshire and North Ayrshire mainland,Construction,F (41-43),4760
2022,East Ayrshire and North Ayrshire mainland,Services sector,G-T,37690
2022,East Cumbria,Production sector,A-E,14150
2022,East Cumbria,Construction,F (41-43),7110
2022,East Cumbria,Services sector,G-T,63620
2022,East Derbyshire,Production sector,A-E,13075
2022,East Derbyshire,Construction,F (41-43),5710
2022,East Derbyshire,Services sector,G-T,58495
2022,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",Production sector,A-E,4485
2022,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",Construction,F (41-43),2730
2022,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",Services sector,G-T,38285
2022,East Kent,Production sector,A-E,11660
2022,East Kent,Construction,F (41-43),7475
2022,East Kent,Services sector,G-T,98440
2022,East Lancashire,Production sector,A-E,23730
2022,East Lancashire,Construction,F (41-43),5485
2022,East Lancashire,Services sector,G-T,54675
2022,East Lothian and Midlothian,Production sector,A-E,6280
2022,East Lothian and Midlothian,Construction,F (41-43),4885
2022,East Lothian and Midlothian,Services sector,G-T,31855
2022,East Merseyside,Production sector,A-E,23660
2022,East Merseyside,Construction,F (41-43),10445
2022,East Merseyside,Services sector,G-T,104810
