DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2015,Cornwall and Isles of Scilly,Financial and insurance activities,K (64-66),1545
2015,Cornwall and Isles of Scilly,Real estate activities,L (68),2240
2015,Cornwall and Isles of Scilly,"Professional, scientific and technical activities",M (69-75),8850
2015,Cornwall and Isles of Scilly,Administrative and support service activities,N (77-82),6530
2015,Cornwall and Isles of Scilly,Public administration and defence,O (84),4200
2015,Cornwall and Isles of Scilly,Education,P (85),7575
2015,Cornwall and Isles of Scilly,Human health and social work activities,Q (86-88),16750
2015,Cornwall and Isles of Scilly,"Arts, entertainment and recreation",R (90-93),2430
2015,Cornwall and Isles of Scilly,Other service activities,S (94-96),2275
2015,Cornwall and Isles of Scilly,Activities of households,T (97-98),0
2015,Cornwall and Isles of Scilly,Activities of extraterritorial organisations and bodies,U (99),0
2015,Cumbria,"Agriculture, forestry and fishing",A (1-3),2785
2015,Cumbria,Mining and quarrying,B (5-9),295
2015,Cumbria,Manufacturing,C (10-33),35625
2015,Cumbria,"Electricity, gas, steam and air conditioning supply",D (35),510
2015,Cumbria,Water supply; sewerage and waste management,E (36-39),1395
2015,Cumbria,Construction,F (41-43),10890
2015,Cumbria,Wholesale and retail trade; repair of motor vehicles,G (45-47),20630
2015,Cumbria,Transportation and storage,H (49-53),7990
2015,Cumbria,Accommodation and food service activities,I (55-56),11825
2015,Cumbria,Information and communication,J (58-63),2645
2015,Cumbria,Financial and insurance activities,K (64-66),1545
2015,Cumbria,Real estate activities,L (68),2310
2015,Cumbria,"Professional, scientific and technical activities",M (69-75),8795
2015,Cumbria,Administrative and support service activities,N (77-82),7035
2015,Cumbria,Public administration and defence,O (84),6750
2015,Cumbria,Education,P (85),8970
2015,Cumbria,Human health and social work activities,Q (86-88),15380
2015,Cumbria,"Arts, entertainment and recreation",R (90-93),2570
2015,Cumbria,Other service activities,S (94-96),2740
2015,Cumbria,Activities of households,T (97-98),0
2015,Cumbria,Activities of extraterritorial organisations and bodies,U (99),0
2015,Derbyshire and Nottinghamshire,"Agriculture, forestry and fishing",A (1-3),3430
2015,Derbyshire and Nottinghamshire,Mining and quarrying,B (5-9),1740
2015,Derbyshire and Nottinghamshire,Manufacturing,C (10-33),117050
2015,Derbyshire and Nottinghamshire,"Electricity, gas, steam and air conditioning supply",D (35),6745
