ITL_region_code,ITL_region_name,SIC07_code,SIC07_description,year,value
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",1998,17
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",1999,13
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2000,13
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2001,11
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2002,13
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2003,18
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2004,21
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2005,12
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2006,14
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2007,15
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2008,36
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2009,45
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2010,61
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2011,56
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2012,66
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2013,83
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2014,68
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2015,64
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2016,24
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2017,27
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2018,26
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2019,35
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2020,27
TLC11,Hartlepool and Stockton-on-Tees,AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",2021,31
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",1998,102
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",1999,103
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2000,103
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2001,102
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2002,96
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2003,102
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2004,102
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2005,93
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2006,100
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2007,108
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2008,108
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2009,113
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2010,128
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2011,118
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2012,112
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2013,99
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2014,91
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2015,94
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2016,105
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2017,108
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2018,132
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2019,133
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2020,129
TLC11,Hartlepool and Stockton-on-Tees,CA (10-12),"Manufacture of food, beverages and tobacco",2021,130
TLC11,Hartlepool and Stockton-on-Tees,CB (13-15),"Manufacture of textiles, wearing apparel and leather",1998,10
