DATE,Region_name,GEOGRAPHY_CODE,Value,Confidence
2014,Dorset and Somerset,UKK2,612100,21700
2014,Cornwall and Isles of Scilly,UKK3,258000,17500
2014,Devon,UKK4,542900,20700
2014,West Wales,UKL1,848200,16100
2014,East Wales,UKL2,532300,14200
2014,North Eastern Scotland,UKM5,260900,13900
2014,Highlands and Islands,UKM6,230900,8700
2014,Eastern Scotland,UKM7,934300,22300
2014,West Central Scotland,UKM8,688400,19900
2014,Southern Scotland,UKM9,444200,13100
2015,Tees Valley and Durham,UKC1,518100,15200
2015,Northumberland and Tyne and Wear,UKC2,655900,19500
2015,Cumbria,UKD1,246800,16700
2015,Greater Manchester,UKD3,1264100,28300
2015,Lancashire,UKD4,675100,25400
2015,Cheshire,UKD6,440400,22200
2015,Merseyside,UKD7,673500,20200
2015,East Yorkshire and Northern Lincolnshire,UKE1,423400,15400
2015,North Yorkshire,UKE2,412500,19200
2015,South Yorkshire,UKE3,632700,23300
2015,West Yorkshire,UKE4,1062200,33000
2015,Derbyshire and Nottinghamshire,UKF1,1031700,35700
2015,"Leicestershire, Rutland and Northamptonshire",UKF2,857700,31900
2015,Lincolnshire,UKF3,344400,23300
2015,"Herefordshire, Worcestershire and Warwickshire",UKG1,648500,25000
2015,Shropshire and Staffordshire,UKG2,773000,27500
2015,West Midlands,UKG3,1177600,32200
2015,East Anglia,UKH1,1198800,39000
2015,Bedfordshire and Hertfordshire,UKH2,929700,33100
2015,Essex,UKH3,878200,32200
2015,Inner London - West,UKI3,612400,25600
2015,Inner London - East,UKI4,1230300,41400
2015,Outer London - East and North East,UKI5,889900,33900
2015,Outer London - South,UKI6,654700,28200
2015,Outer London - West and North West,UKI7,1013300,35700
2015,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,1220700,27300
2015,"Surrey, East and West Sussex",UKJ2,1378900,43800
2015,Hampshire and Isle of Wight,UKJ3,992000,29700
2015,Kent,UKJ4,836200,33800
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,1240800,32000
2015,Dorset and Somerset,UKK2,622300,22700
2015,Cornwall and Isles of Scilly,UKK3,253700,17700
2015,Devon,UKK4,569100,21300
2015,West Wales,UKL1,859000,16200
2015,East Wales,UKL2,539700,14600
2015,North Eastern Scotland,UKM5,263600,14700
2015,Highlands and Islands,UKM6,230300,9000
2015,Eastern Scotland,UKM7,935100,22900
2015,West Central Scotland,UKM8,709000,20600
2015,Southern Scotland,UKM9,444900,13400
2016,Tees Valley and Durham,UKC1,531500,16600
2016,Northumberland and Tyne and Wear,UKC2,665400,20400
2016,Cumbria,UKD1,233900,16300
2016,Greater Manchester,UKD3,1279600,29400
2016,Lancashire,UKD4,694500,25800
2016,Cheshire,UKD6,439600,23000
2016,Merseyside,UKD7,685800,21200
2016,East Yorkshire and Northern Lincolnshire,UKE1,428600,16100
2016,North Yorkshire,UKE2,419100,20300
2016,South Yorkshire,UKE3,621000,23600
2016,West Yorkshire,UKE4,1072400,34800
2016,Derbyshire and Nottinghamshire,UKF1,1058600,36900
2016,"Leicestershire, Rutland and Northamptonshire",UKF2,870700,33100
2016,Lincolnshire,UKF3,336300,23200
2016,"Herefordshire, Worcestershire and Warwickshire",UKG1,647000,25500
2016,Shropshire and Staffordshire,UKG2,791100,28000
2016,West Midlands,UKG3,1211600,33000
2016,East Anglia,UKH1,1207000,40400
2016,Bedfordshire and Hertfordshire,UKH2,922200,33800
2016,Essex,UKH3,872700,32300
2016,Inner London - West,UKI3,618700,27000
2016,Inner London - East,UKI4,1264900,44400
2016,Outer London - East and North East,UKI5,922700,35600
2016,Outer London - South,UKI6,660800,29200
2016,Outer London - West and North West,UKI7,1024500,38800
2016,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,1223000,28700
2016,"Surrey, East and West Sussex",UKJ2,1427000,46300
2016,Hampshire and Isle of Wight,UKJ3,976700,30100
2016,Kent,UKJ4,859200,36600
2016,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,1261100,33600
2016,Dorset and Somerset,UKK2,611800,23500
2016,Cornwall and Isles of Scilly,UKK3,265300,18500
2016,Devon,UKK4,544700,21600
2016,West Wales,UKL1,878800,17300
2016,East Wales,UKL2,541600,15600
2016,North Eastern Scotland,UKM5,248900,15100
2016,Highlands and Islands,UKM6,227800,9200
2016,Eastern Scotland,UKM7,952200,24400
2016,West Central Scotland,UKM8,734400,21500
2016,Southern Scotland,UKM9,432800,14000
2017,Tees Valley and Durham,UKC1,528100,16100
2017,Northumberland and Tyne and Wear,UKC2,665900,20100
2017,Cumbria,UKD1,241000,16700
2017,Greater Manchester,UKD3,1316600,30500
2017,Lancashire,UKD4,706000,26000
2017,Cheshire,UKD6,439600,22800
2017,Merseyside,UKD7,696900,21500
2017,East Yorkshire and Northern Lincolnshire,UKE1,427800,15800
2017,North Yorkshire,UKE2,397200,19900
2017,South Yorkshire,UKE3,644100,24100
2017,West Yorkshire,UKE4,1090800,35100
2017,Derbyshire and Nottinghamshire,UKF1,1033000,36200
2017,"Leicestershire, Rutland and Northamptonshire",UKF2,882600,35100
2017,Lincolnshire,UKF3,352100,24000
2017,"Herefordshire, Worcestershire and Warwickshire",UKG1,663500,26900
2017,Shropshire and Staffordshire,UKG2,788700,28200
2017,West Midlands,UKG3,1251500,34300
2017,East Anglia,UKH1,1197700,41500
2017,Bedfordshire and Hertfordshire,UKH2,938700,33800
2017,Essex,UKH3,896500,32600
2017,Inner London - West,UKI3,615800,28400
2017,Inner London - East,UKI4,1290700,45900
2017,Outer London - East and North East,UKI5,919400,34400
2017,Outer London - South,UKI6,663000,29500
2017,Outer London - West and North West,UKI7,1043300,39500
2017,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,1239100,28900
2017,"Surrey, East and West Sussex",UKJ2,1424600,47500
2017,Hampshire and Isle of Wight,UKJ3,1007000,30300
2017,Kent,UKJ4,894000,38300
2017,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,1280900,33100
2017,Dorset and Somerset,UKK2,629000,23600
2017,Cornwall and Isles of Scilly,UKK3,269900,18600
2017,Devon,UKK4,591400,22600
2017,West Wales,UKL1,879500,17100
2017,East Wales,UKL2,560200,15700
2017,North Eastern Scotland,UKM5,259000,15000
2017,Highlands and Islands,UKM6,233000,8900
2017,Eastern Scotland,UKM7,976000,24500
2017,West Central Scotland,UKM8,728300,21400
2017,Southern Scotland,UKM9,442500,14200
2018,Tees Valley and Durham,UKC1,539700,16000
2018,Northumberland and Tyne and Wear,UKC2,663200,20400
2018,Cumbria,UKD1,241500,16400
2018,Greater Manchester,UKD3,1329600,30700
2018,Lancashire,UKD4,695000,25200
2018,Cheshire,UKD6,449900,23300
2018,Merseyside,UKD7,716900,22300
2018,East Yorkshire and Northern Lincolnshire,UKE1,429500,16200
2018,North Yorkshire,UKE2,406700,20700
2018,South Yorkshire,UKE3,656100,24800
2018,West Yorkshire,UKE4,1076900,35200
2018,Derbyshire and Nottinghamshire,UKF1,1046700,36000
2018,"Leicestershire, Rutland and Northamptonshire",UKF2,890700,35700
2018,Lincolnshire,UKF3,351900,24300
2018,"Herefordshire, Worcestershire and Warwickshire",UKG1,678600,27400
2018,Shropshire and Staffordshire,UKG2,790400,27400
2018,West Midlands,UKG3,1278800,34900
