ITL_code,Region_name,SIC07_code,SIC07_description,year,value,CoV100,SE,gva_min95,gva_max95,growth,growth_min95,growth_max95,growth_bound_low,growth_bound_high,excludes_zero,excludes_zero_conservative
TLD,North West,62,Computer programming and consultancy,2012,3143,3.5602450646698434,111.89850238257316,2923.6789353301565,3362.3210646698435,NA,NA,NA,NA,NA,NA,NA
TLD,North West,62,Computer programming and consultancy,2013,3096,4.889262685730306,151.37157275021028,2799.311717409588,3392.688282590412,-0.01495386573337576,-0.042537919064127516,0.009031623493561458,-0.16744663475959254,0.16041752792780328,FALSE,FALSE
TLD,North West,62,Computer programming and consultancy,2014,3400,NA,NA,NA,NA,0.09819121447028434,NA,NA,NA,NA,NA,NA
TLD,North West,62,Computer programming and consultancy,2015,3452,NA,NA,NA,NA,0.015294117647058902,NA,NA,NA,NA,NA,NA
TLD,North West,62,Computer programming and consultancy,2016,3606,NA,NA,NA,NA,0.04461181923522606,NA,NA,NA,NA,NA,NA
TLD,North West,62,Computer programming and consultancy,2017,3658,NA,NA,NA,NA,0.014420410427065988,NA,NA,NA,NA,NA,NA
TLD,North West,62,Computer programming and consultancy,2018,3745,NA,NA,NA,NA,0.023783488244942586,NA,NA,NA,NA,NA,NA
TLD,North West,62,Computer programming and consultancy,2019,3815,9.1921749136939,350.68147295742233,3127.664313003452,4502.335686996548,0.01869158878504673,NA,NA,NA,NA,NA,NA
TLD,North West,62,Computer programming and consultancy,2020,3992,15.630664652567972,623.9761329305135,2769.0067794561937,5214.993220543806,0.04639580602883364,-0.11467264311458181,0.15828618368140002,-0.3849843787851004,0.667376258654792,FALSE,FALSE
TLD,North West,62,Computer programming and consultancy,2021,3919,4.968193384223919,194.70349872773537,3537.381142493639,4300.618857506362,-0.018286573146292562,0.2774909648969319,-0.17533567626423419,-0.32169017429235125,0.5531268790721278,FALSE,FALSE
TLD,North West,62,Computer programming and consultancy,2022,4435,7.349594531264699,325.9545174615894,3796.129145775285,5073.870854224715,0.13166624138810912,0.07314676956163235,0.17980016884516714,-0.11730630601001368,0.4343579755298701,TRUE,FALSE
TLD,North West,62,Computer programming and consultancy,2023,3987,7.207796946207634,287.3748642452984,3423.745266079215,4550.254733920785,-0.1010146561443066,-0.09809568257457635,-0.10319855103681752,-0.325220257975533,0.19865646272460635,TRUE,FALSE
