GEOGRAPHY_NAME,GEOGRAPHY_CODE_NUTS2018,GEOGRAPHY_CODE_ITL321
Caithness & Sutherland and Ross & Cromarty,UKM61,TLM61
"Inverness & Nairn and Moray, Badenoch & Strathspey",UKM62,TLM62
"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",UKM63,TLM63
Na h-Eileanan Siar (Western Isles),UKM64,TLM64
Orkney Islands,UKM65,TLM65
Shetland Islands,UKM66,TLM66
Angus and Dundee City,UKM71,TLM71
Clackmannanshire and Fife,UKM72,TLM72
East Lothian and Midlothian,UKM73,TLM73
"Edinburgh, City of",UKM75,TLM75
Falkirk,UKM76,TLM76
Perth & Kinross and Stirling,UKM77,TLM77
West Lothian,UKM78,TLM78
"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81,TLM81
Glasgow City,UKM82,TLM82
"Inverclyde, East Renfrewshire and Renfrewshire",UKM83,TLM83
North Lanarkshire,UKM84,TLM84
Scottish Borders,UKM91,TLM91
Dumfries & Galloway,UKM92,TLM92
East Ayrshire and North Ayrshire mainland,UKM93,TLM93
South Ayrshire,UKM94,TLM94
South Lanarkshire,UKM95,TLM95
"Bournemouth, Christchurch and Poole",NA,TLK24
